AL, 83, 2017111318, 03, CTCX, 000, 300N,  720W,  98,  945, XX,  34, NEQ, 0197, 0195, 0133, 0178,    0,    0, 017
AL, 83, 2017111318, 03, CTCX, 000, 300N,  720W,  98,  945, XX,  50, NEQ, 0104, 0098, 0056, 0080,    0,    0, 017
AL, 83, 2017111318, 03, CTCX, 000, 300N,  720W,  98,  945, XX,  64, NEQ, 0052, 0048, 0030, 0041,    0,    0, 017
AL, 83, 2017111318, 03, CTCX, 006, 306N,  714W,  68,  978, XX,  34, NEQ, 0144, 0135, 0140, 0162,    0,    0, 046
AL, 83, 2017111318, 03, CTCX, 006, 306N,  714W,  68,  978, XX,  50, NEQ, 0109, 0107, 0068, 0078,    0,    0, 046
AL, 83, 2017111318, 03, CTCX, 006, 306N,  714W,  68,  978, XX,  64, NEQ, 0034, 0034, 0046, 0049,    0,    0, 046
AL, 83, 2017111318, 03, CTCX, 012, 308N,  701W, 103,  985, XX,  34, NEQ, 0092, 0100, 0127, 0114,    0,    0, 023
AL, 83, 2017111318, 03, CTCX, 012, 308N,  701W, 103,  985, XX,  50, NEQ, 0077, 0043, 0052, 0078,    0,    0, 023
AL, 83, 2017111318, 03, CTCX, 012, 308N,  701W, 103,  985, XX,  64, NEQ, 0000, 0000, 0046, 0047,    0,    0, 023
AL, 83, 2017111318, 03, CTCX, 018, 315N,  683W,  78,  988, XX,  34, NEQ, 0109, 0143, 0071, 0101,    0,    0, 023
AL, 83, 2017111318, 03, CTCX, 018, 315N,  683W,  78,  988, XX,  50, NEQ, 0070, 0049, 0049, 0050,    0,    0, 023
AL, 83, 2017111318, 03, CTCX, 018, 315N,  683W,  78,  988, XX,  64, NEQ, 0000, 0000, 0039, 0026,    0,    0, 023
AL, 83, 2017111318, 03, CTCX, 024, 328N,  661W,  66,  991, XX,  34, NEQ, 0103, 0173, 0102, 0075,    0,    0, 031
AL, 83, 2017111318, 03, CTCX, 024, 328N,  661W,  66,  991, XX,  50, NEQ, 0029, 0061, 0069, 0000,    0,    0, 031
AL, 83, 2017111318, 03, CTCX, 024, 328N,  661W,  66,  991, XX,  64, NEQ, 0000, 0036, 0000, 0000,    0,    0, 031
AL, 83, 2017111318, 03, CTCX, 030, 345N,  635W,  70,  985, XX,  34, NEQ, 0124, 0195, 0089, 0139,    0,    0, 023
AL, 83, 2017111318, 03, CTCX, 030, 345N,  635W,  70,  985, XX,  50, NEQ, 0047, 0143, 0050, 0044,    0,    0, 023
AL, 83, 2017111318, 03, CTCX, 030, 345N,  635W,  70,  985, XX,  64, NEQ, 0000, 0000, 0045, 0000,    0,    0, 023
AL, 83, 2017111318, 03, CTCX, 036, 361N,  608W,  70,  984, XX,  34, NEQ, 0184, 0236, 0135, 0139,    0,    0, 022
AL, 83, 2017111318, 03, CTCX, 036, 361N,  608W,  70,  984, XX,  50, NEQ, 0091, 0157, 0054, 0066,    0,    0, 022
AL, 83, 2017111318, 03, CTCX, 036, 361N,  608W,  70,  984, XX,  64, NEQ, 0000, 0000, 0028, 0000,    0,    0, 022
AL, 83, 2017111318, 03, CTCX, 042, 380N,  576W,  74,  983, XX,  34, NEQ, 0182, 0219, 0156, 0152,    0,    0, 044
AL, 83, 2017111318, 03, CTCX, 042, 380N,  576W,  74,  983, XX,  50, NEQ, 0074, 0161, 0078, 0048,    0,    0, 044
AL, 83, 2017111318, 03, CTCX, 042, 380N,  576W,  74,  983, XX,  64, NEQ, 0000, 0000, 0050, 0030,    0,    0, 044
AL, 83, 2017111318, 03, CTCX, 048, 402N,  540W,  65,  980, XX,  34, NEQ, 0187, 0234, 0196, 0266,    0,    0, 045
AL, 83, 2017111318, 03, CTCX, 048, 402N,  540W,  65,  980, XX,  50, NEQ, 0090, 0161, 0070, 0047,    0,    0, 045
AL, 83, 2017111318, 03, CTCX, 048, 402N,  540W,  65,  980, XX,  64, NEQ, 0000, 0000, 0047, 0000,    0,    0, 045
AL, 83, 2017111318, 03, CTCX, 054, 426N,  502W,  59,  973, XX,  34, NEQ, 0270, 0274, 0218, 0290,    0,    0, 048
AL, 83, 2017111318, 03, CTCX, 054, 426N,  502W,  59,  973, XX,  50, NEQ, 0074, 0161, 0072, 0000,    0,    0, 048
AL, 83, 2017111318, 03, CTCX, 060, 455N,  487W,   0,  968, XX,  34, NEQ, 0275, 0351, 0178, 0120,    0,    0, ***
AL, 83, 2017111318, 03, CTCX, 060, 455N,  487W,   0,  968, XX,  50, NEQ, 0000, 0187, 0101, 0118,    0,    0, ***
