AL, 89, 2005110912, 01, CARQ, -24, 212N,  712W,  30,    0, TS,  34, AAA,    0,    0,    0,    0, 
AL, 89, 2005110912, 01, CARQ, -18, 216N,  721W,  30,    0, TS,  34, AAA,    0,    0,    0,    0, 
AL, 89, 2005110912, 01, CARQ, -12, 221N,  731W,  30,    0, TS,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X, 300,  10, 
AL, 89, 2005110912, 01, CARQ,  -6, 226N,  740W,  35,    0, TS,  34, AAA,    0,    0,    0,    0, 
AL, 89, 2005110912, 01, CARQ,   0, 230N,  750W,  35, 1005, TS,  34, NEQ,   50,   50,   50,   50, 1013,  150,  50,   0,   0,   L,   0,   X, 300,  10,      CHRIS, D, 
AL, 89, 2005110912, 01, CARQ,   0, 230N,  750W,  35, 1005, TS,  50, NEQ,    0,    0,    0,    0, 1013,  150,  50,   0,   0,   L,   0,   X, 300,  10,      CHRIS, D, 
AL, 89, 2005110912, 01, CARQ,   0, 230N,  750W,  35, 1005, TS,  64, NEQ,    0,    0,    0,    0, 1013,  150,  50,   0,   0,   L,   0,   X, 300,  10,      CHRIS, D, 
AL, 89, 2005110912, 03, A90E,   0, 230N,  750W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, A90E,  12, 236N,  764W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, A90E,  24, 235N,  773W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, A90E,  36, 231N,  775W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, A90E,  48, 230N,  759W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, A90E,  60, 226N,  744W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, A90E,  72, 229N,  734W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
