AL, 92, 2014091100, 03, GFDN,   0, 272N,  765W,  24, 1011
AL, 92, 2014091100, 03, GFDN,   6, 274N,  773W,  23, 1011
AL, 92, 2014091100, 03, GFDN,  12, 277N,  777W,  22, 1011
AL, 92, 2014091100, 03, GFDN,  18, 278N,  785W,  23, 1011
AL, 92, 2014091100, 03, GFDN,  24, 277N,  792W,  22, 1012
AL, 92, 2014091100, 03, GFDN,  30, 277N,  800W,  30, 1011
AL, 92, 2014091100, 03, GFDN,  36, 277N,  806W,  28, 1012
AL, 92, 2014091100, 03, GFDN,  42, 276N,  815W,  32, 1011
AL, 92, 2014091100, 03, GFDN,  48, 275N,  826W,  20, 1012
AL, 92, 2014091100, 03, GFDN,  54, 277N,  835W,  18, 1013
AL, 92, 2014091100, 03, GFDN,  60, 281N,  843W,  21, 1013
AL, 92, 2014091100, 03, GFDN,  66, 284N,  849W,  22, 1014
AL, 92, 2014091100, 03, GFDN,  72, 286N,  857W,  20, 1014
AL, 92, 2014091100, 03, GFDN,  78, 291N,  868W,  20, 1014
AL, 92, 2014091100, 03, GFDN,  84, 293N,  872W,  17, 1015
AL, 92, 2014091100, 03, GFDN,  90, 300N,  880W,  18, 1016
AL, 92, 2014091100, 03, GFDN,  96, 306N,  890W,  17, 1015
AL, 92, 2014091100, 03, GFDN, 102, 311N,  892W,  14, 1014
AL, 92, 2014091100, 03, NG01, 000, 270N,  786W,  16, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG01, 006, 271N,  801W,  13, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG01, 012, 280N,  806W,  15, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG01, 018, 285N,  814W,  13, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG01, 024, 290N,  818W,  14, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG02, 000, 289N,  758W,   9, 1016, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG02, 006, 285N,  758W,   9, 1015, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG02, 012, 288N,  753W,  10, 1016, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG02, 018, 290N,  749W,  11, 1016, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG02, 024, 284N,  751W,  10, 1015, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG02, 030, 279N,  751W,  13, 1015, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG02, 036, 277N,  755W,  12, 1015, XX,  34, NEQ, 0000, 0000, 0000, 0000
