AL, 93, 2005111112, 01, CARQ, -24,  84N,  813W,  20,    0, DB,  34, AAA,    0,    0,    0,    0, 
AL, 93, 2005111112, 01, CARQ, -18,  82N,  813W,  20,    0, DB,  34, AAA,    0,    0,    0,    0, 
AL, 93, 2005111112, 01, CARQ, -12,  82N,  811W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,  71,   2, 
AL, 93, 2005111112, 01, CARQ,  -6,  83N,  810W,  20,    0, DB,  34, AAA,    0,    0,    0,    0, 
AL, 93, 2005111112, 01, CARQ,   0,  85N,  810W,  20, 1009, DB,  34, NEQ,    0,    0,    0,    0, 1011,  150,  45,   0,   0,   L,   0,   X,   0,   1,     NONAME, D, 
AL, 93, 2005111112, 01, CARQ,   0,  85N,  810W,  20, 1009, DB,  50, NEQ,    0,    0,    0,    0, 1011,  150,  45,   0,   0,   L,   0,   X,   0,   1,     NONAME, D, 
AL, 93, 2005111112, 01, CARQ,   0,  85N,  810W,  20, 1009, DB,  64, NEQ,    0,    0,    0,    0, 1011,  150,  45,   0,   0,   L,   0,   X,   0,   1,     NONAME, D, 
AL, 93, 2005111112, 03, A90E,   0,  85N,  810W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2005111112, 03, A90E,  12,  87N,  814W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2005111112, 03, A90E,  24,  90N,  822W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2005111112, 03, A90E,  36,  92N,  828W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2005111112, 03, A90E,  48,  97N,  828W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2005111112, 03, A90E,  60, 102N,  829W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2005111112, 03, A90E,  72, 111N,  827W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2005111112, 03, A90E,  84, 121N,  827W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2005111112, 03, A90E,  96, 129N,  830W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2005111112, 03, A90E, 108, 135N,  833W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2005111112, 03, A90E, 120, 141N,  833W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2005111112, 03, A98E,   0,  85N,  810W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2005111112, 03, A98E,  12,  87N,  814W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2005111112, 03, A98E,  24,  89N,  822W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2005111112, 03, A98E,  36,  91N,  828W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2005111112, 03, A98E,  48,  96N,  829W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2005111112, 03, A98E,  60, 101N,  830W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2005111112, 03, A98E,  72, 110N,  828W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2005111112, 03, A98E,  84, 119N,  828W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2005111112, 03, A98E,  96, 126N,  832W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2005111112, 03, A98E, 108, 132N,  835W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2005111112, 03, A98E, 120, 138N,  834W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2005111112, 03, A9UK,   0,  85N,  810W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2005111112, 03, A9UK,  12,  87N,  814W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2005111112, 03, A9UK,  24,  90N,  822W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
