CP, 82, 2008073112, 01, CARQ, -24, 190N, 1447W,  20,    0, DB,  34, AAA,    0,    0,    0,    0, 
CP, 82, 2008073112, 01, CARQ, -18, 191N, 1459W,  20,    0, DB,  34, AAA,    0,    0,    0,    0, 
CP, 82, 2008073112, 01, CARQ, -12, 192N, 1466W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X, 279,   6, 
CP, 82, 2008073112, 01, CARQ,  -6, 193N, 1472W,  20,    0, DB,  34, AAA,    0,    0,    0,    0, 
CP, 82, 2008073112, 01, CARQ,   0, 193N, 1478W,  20, 1011, DB,  34, NEQ,    0,    0,    0,    0, 1012,  150,   0,   0,   0,   C,   0,   X, 275,   6,     INVEST, S, 
CP, 82, 2008073112, 01, CARQ,   0, 193N, 1478W,  20, 1011, DB,  50, NEQ,    0,    0,    0,    0, 1012,  150,   0,   0,   0,   C,   0,   X, 275,   6,     INVEST, S, 
CP, 82, 2008073112, 01, CARQ,   0, 193N, 1478W,  20, 1011, DB,  64, NEQ,    0,    0,    0,    0, 1012,  150,   0,   0,   0,   C,   0,   X, 275,   6,     INVEST, S, 
CP, 82, 2008073112, 03, CLIP,  12, 194N, 1491W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008073112, 03, CLIP,  24, 194N, 1503W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008073112, 03, CLIP,  36, 196N, 1514W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008073112, 03, CLIP,  48, 202N, 1519W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008073112, 03, CLIP,  60, 202N, 1532W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008073112, 03, CLIP,  72, 197N, 1554W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008073112, 03, CLP5,  12, 194N, 1491W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008073112, 03, CLP5,  24, 196N, 1505W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008073112, 03, CLP5,  36, 198N, 1519W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008073112, 03, CLP5,  48, 200N, 1533W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008073112, 03, CLP5,  60, 204N, 1546W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008073112, 03, CLP5,  72, 209N, 1561W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008073112, 03, CLP5,  84, 213N, 1575W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
