CP, 84, 2012060212, 01, CARQ, -24, 210N, 1450W, 100,    0, HU,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X,   0,   0,      CHUCK,  , 
CP, 84, 2012060212, 01, CARQ, -18, 210N, 1456W, 100,    0, HU,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X,   0,   0,      CHUCK,  , 
CP, 84, 2012060212, 01, CARQ, -12, 210N, 1464W, 105,    0, HU,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X, 270,   7,      CHUCK,  , 
CP, 84, 2012060212, 01, CARQ,  -6, 210N, 1471W, 105,    0, HU,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X,   0,   0,      CHUCK,  , 
CP, 84, 2012060212, 01, CARQ,   0, 210N, 1480W, 105,  958, HU,  34, NEQ,  145,  130,  130,  145, 1012,  155,  20,   0,   0,   C,   0,   X, 270,   7,      CHUCK, D , 
CP, 84, 2012060212, 01, CARQ,   0, 210N, 1480W, 105,  958, HU,  50, NEQ,   90,   80,   80,   90, 1012,  155,  20,   0,   0,   C,   0,   X, 270,   7,      CHUCK, D , 
CP, 84, 2012060212, 01, CARQ,   0, 210N, 1480W, 105,  958, HU,  64, NEQ,   30,   25,   25,   30, 1012,  155,  20,   0,   0,   C,   0,   X, 270,   7,      CHUCK, D , 
CP, 84, 2012060212, 03, DRCL,   0, 210N, 1480W, 105,    0, HU,  34, NEQ,  145,  130,  130,  145, 
CP, 84, 2012060212, 03, DRCL,   0, 210N, 1480W, 105,    0, HU,  50, NEQ,   90,   80,   80,   90, 
CP, 84, 2012060212, 03, DRCL,   0, 210N, 1480W, 105,    0, HU,  64, NEQ,   30,   25,   25,   30, 
CP, 84, 2012060212, 03, DRCL,  12, 210N, 1488W, 110,    0, HU,  34, NEQ,  137,  123,  123,  137, 
CP, 84, 2012060212, 03, DRCL,  12, 210N, 1488W, 110,    0, HU,  50, NEQ,   86,   77,   77,   86, 
CP, 84, 2012060212, 03, DRCL,  12, 210N, 1488W, 110,    0, HU,  64, NEQ,   35,   31,   31,   35, 
CP, 84, 2012060212, 03, DRCL,  24, 211N, 1496W, 115,    0, HU,  34, NEQ,  134,  121,  121,  135, 
CP, 84, 2012060212, 03, DRCL,  24, 211N, 1496W, 115,    0, HU,  50, NEQ,   83,   76,   76,   84, 
CP, 84, 2012060212, 03, DRCL,  24, 211N, 1496W, 115,    0, HU,  64, NEQ,   41,   37,   37,   41, 
CP, 84, 2012060212, 03, DRCL,  36, 211N, 1504W, 115,    0, HU,  34, NEQ,  133,  119,  121,  135, 
CP, 84, 2012060212, 03, DRCL,  36, 211N, 1504W, 115,    0, HU,  50, NEQ,   81,   74,   75,   82, 
CP, 84, 2012060212, 03, DRCL,  36, 211N, 1504W, 115,    0, HU,  64, NEQ,   44,   40,   41,   44, 
CP, 84, 2012060212, 03, DRCL,  48, 211N, 1512W, 120,    0, HU,  34, NEQ,  133,  119,  121,  135, 
