CP, 89, 2006120712, 01, CARQ, -24, 125N, 1367W,  30,    0, TD,  34, AAA,    0,    0,    0,    0, 
CP, 89, 2006120712, 01, CARQ, -18, 129N, 1385W,  30,    0, TD,  34, AAA,    0,    0,    0,    0, 
CP, 89, 2006120712, 01, CARQ, -12, 129N, 1393W,  30,    0, TD,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X, 281,   8, 
CP, 89, 2006120712, 01, CARQ,  -6, 132N, 1401W,  30,    0, TD,  34, AAA,    0,    0,    0,    0, 
CP, 89, 2006120712, 01, CARQ,   0, 133N, 1411W,  30, 1009, TD,  34, NEQ,    0,    0,    0,    0, 1010,  150,   0,   0,   0,   C,   0,   X, 280,   9,     NONAME, S, 
CP, 89, 2006120712, 01, CARQ,   0, 133N, 1411W,  30, 1009, TD,  50, NEQ,    0,    0,    0,    0, 1010,  150,   0,   0,   0,   C,   0,   X, 280,   9,     NONAME, S, 
CP, 89, 2006120712, 01, CARQ,   0, 133N, 1411W,  30, 1009, TD,  64, NEQ,    0,    0,    0,    0, 1010,  150,   0,   0,   0,   C,   0,   X, 280,   9,     NONAME, S, 
CP, 89, 2006120712, 03, BAMD,  12, 136N, 1419W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, BAMD,  24, 135N, 1429W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, BAMD,  36, 134N, 1442W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, BAMD,  48, 132N, 1453W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, BAMD,  60, 131N, 1465W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, BAMD,  72, 130N, 1478W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, BAMD,  84, 129N, 1491W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, BAMD,  96, 131N, 1502W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, BAMD, 108, 132N, 1511W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, BAMD, 120, 131N, 1519W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, BAMM,  12, 134N, 1428W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, BAMM,  24, 130N, 1449W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, BAMM,  36, 126N, 1476W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, BAMM,  48, 123N, 1506W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, BAMM,  60, 122N, 1539W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, BAMM,  72, 124N, 1574W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, BAMM,  84, 126N, 1605W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, BAMM,  96, 124N, 1636W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, BAMM, 108, 122N, 1672W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, BAMM, 120, 122N, 1711W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, BAMS,  12, 133N, 1438W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, BAMS,  24, 129N, 1472W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, BAMS,  36, 126N, 1512W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, BAMS,  48, 121N, 1555W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, BAMS,  60, 121N, 1604W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, BAMS,  72, 124N, 1650W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, BAMS,  84, 126N, 1691W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, BAMS,  96, 128N, 1735W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, BAMS, 108, 135N, 1777W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, BAMS, 120, 143N, 1785E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, CLIP,  12, 135N, 1427W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, CLIP,  24, 134N, 1439W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, CLIP,  36, 132N, 1446W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, CLIP,  48, 132N, 1445W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, CLIP,  60, 128N, 1449W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, CLIP,  72, 121N, 1452W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, CLP5,  12, 137N, 1428W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, CLP5,  24, 141N, 1445W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, CLP5,  36, 146N, 1461W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, CLP5,  48, 150N, 1469W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, CLP5,  60, 155N, 1482W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, CLP5,  72, 161N, 1495W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, CLP5,  84, 162N, 1500W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, CLP5,  96, 168N, 1506W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, CLP5, 108, 174N, 1517W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, CLP5, 120, 179N, 1530W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, LBAR,   0, 133N, 1411W,  30,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, LBAR,  12, 138N, 1423W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, LBAR,  24, 144N, 1441W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, LBAR,  36, 151N, 1464W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, LBAR,  48, 159N, 1485W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, LBAR,  60, 162N, 1506W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, LBAR,  72, 166N, 1524W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, LBAR,  84, 173N, 1538W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, LBAR,  96, 167N, 1550W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, LBAR, 108, 167N, 1554W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, LBAR, 120, 168N, 1566W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, SHF5,   0,   0N,    0W,  30,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, SHF5,  12,   0N,    0W,  29,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, SHF5,  24,   0N,    0W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, SHF5,  36,   0N,    0W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, SHF5,  48,   0N,    0W,  22,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, SHF5,  60,   0N,    0W,  26,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, SHF5,  72,   0N,    0W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, SHF5,  84,   0N,    0W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, SHF5,  96,   0N,    0W,  26,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, SHF5, 108,   0N,    0W,  26,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, SHF5, 120,   0N,    0W,  34,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, SHFR,  12,   0N,    0W,  31,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, SHFR,  24,   0N,    0W,  34,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, SHFR,  36,   0N,    0W,  37,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, SHFR,  48,   0N,    0W,  40,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, SHFR,  60,   0N,    0W,  44,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, SHFR,  72,   0N,    0W,  47,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, XTRP,   0, 133N, 1411W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, XTRP,  12, 137N, 1428W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, XTRP,  24, 141N, 1446W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, XTRP,  36, 145N, 1464W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, XTRP,  48, 149N, 1482W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, XTRP,  60, 153N, 1500W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, XTRP,  72, 157N, 1519W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, XTRP,  84, 161N, 1537W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, XTRP,  96, 165N, 1555W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, XTRP, 108, 169N, 1573W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 89, 2006120712, 03, XTRP, 120, 173N, 1592W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
