CP, 91, 2009072006, 01, CARQ, -24,  98N, 1536W,  25,    0, DB,  34, AAA,    0,    0,    0,    0, 
CP, 91, 2009072006, 01, CARQ, -18,  97N, 1559W,  25,    0, DB,  34, AAA,    0,    0,    0,    0, 
CP, 91, 2009072006, 01, CARQ, -12,  89N, 1581W,  25,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X, 259,  18, 
CP, 91, 2009072006, 01, CARQ,  -6,  90N, 1594W,  25,    0, DB,  34, AAA,    0,    0,    0,    0, 
CP, 91, 2009072006, 01, CARQ,   0,  92N, 1606W,  25, 1009, DB,  34, NEQ,    0,    0,    0,    0, 1011,  100,  45,   0,   0,   C,   0,   X, 265,  13,     INVEST, S, 
CP, 91, 2009072006, 01, CARQ,   0,  92N, 1606W,  25, 1009, DB,  50, NEQ,    0,    0,    0,    0, 1011,  100,  45,   0,   0,   C,   0,   X, 265,  13,     INVEST, S, 
CP, 91, 2009072006, 01, CARQ,   0,  92N, 1606W,  25, 1009, DB,  64, NEQ,    0,    0,    0,    0, 1011,  100,  45,   0,   0,   C,   0,   X, 265,  13,     INVEST, S, 
CP, 91, 2009072006, 03, AC00,   0,  92N, 1610W,  24, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AC00,   6,  94N, 1624W,  26, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AC00,  12,  99N, 1640W,  24, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AC00,  18, 100N, 1664W,  23, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AC00,  24, 104N, 1680W,  25, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AC00,  30, 101N, 1699W,  22, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AC00,  36, 106N, 1719W,  24, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AC00,  42, 107N, 1732W,  23, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AEMN,   0,  92N, 1610W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AEMN,   6,  94N, 1625W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AEMN,  12,  98N, 1643W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AEMN,  18,  96N, 1664W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AEMN,  24,  99N, 1682W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AEMN,  30, 102N, 1699W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AEMN,  36, 106N, 1711W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP01,   0,  96N, 1610W,  27, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP01,   6,  99N, 1621W,  25, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP01,  12, 105N, 1641W,  27, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP01,  18, 108N, 1663W,  25, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP01,  24, 112N, 1678W,  26, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP01,  30, 108N, 1699W,  23, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP01,  36, 104N, 1713W,  22, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP01,  42, 101N, 1734W,  19, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP01,  48,  98N, 1748W,  17, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP02,   0,  92N, 1609W,  22, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP02,   6,  92N, 1622W,  20, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP02,  12, 101N, 1650W,  24, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP02,  18,  98N, 1667W,  21, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP02,  24,  97N, 1685W,  21, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP02,  30,  99N, 1693W,  20, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP03,   0,  90N, 1609W,  25, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP03,   6,  91N, 1619W,  23, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP03,  12,  95N, 1636W,  24, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP03,  18,  94N, 1656W,  22, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP03,  24,  99N, 1672W,  22, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP03,  30, 105N, 1686W,  24, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP03,  36, 107N, 1703W,  23, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP03,  42, 108N, 1721W,  23, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP03,  48, 107N, 1740W,  22, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP03,  54, 103N, 1764W,  17, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP04,   0,  98N, 1619W,  24, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP04,   6, 101N, 1641W,  25, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP04,  12, 105N, 1665W,  25, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP04,  18,  94N, 1683W,  20, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP05,   0,  96N, 1614W,  25, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP05,   6, 104N, 1631W,  26, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP05,  12, 110N, 1650W,  26, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP05,  18, 110N, 1669W,  25, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP05,  24, 109N, 1688W,  25, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP05,  30, 110N, 1701W,  26, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP05,  36, 106N, 1713W,  23, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP06,   0,  92N, 1609W,  25, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP06,   6,  97N, 1624W,  27, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP06,  12, 100N, 1647W,  25, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP06,  18, 100N, 1666W,  23, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP06,  24, 109N, 1687W,  27, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP06,  30, 107N, 1701W,  25, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP06,  36, 105N, 1714W,  25, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP07,   0,  96N, 1608W,  27, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP07,   6,  99N, 1621W,  26, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP07,  12, 109N, 1635W,  28, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
