CP, 91, 2023092018, 01, CARQ, -24, 123N, 1339W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   E,   0,   X,   0,   0,     INVEST,  , 
CP, 91, 2023092018, 01, CARQ, -18, 125N, 1348W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   E,   0,   X,   0,   0,     INVEST,  , 
CP, 91, 2023092018, 01, CARQ, -12, 127N, 1356W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   E,   0,   X, 289,   8,     INVEST,  , 
CP, 91, 2023092018, 01, CARQ,  -6, 130N, 1363W,  25,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   E,   0,   X,   0,   0,     INVEST,  , 
CP, 91, 2023092018, 01, CARQ,   0, 130N, 1370W,  25, 1008, DB,  34, NEQ,    0,    0,    0,    0, 1009,  150,  90,   0,   0,   E,   0,   X, 280,   7,     INVEST, S, 
CP, 91, 2023092018, 01, CARQ,   0, 130N, 1370W,  25, 1008, DB,  50, NEQ,    0,    0,    0,    0, 1009,  150,  90,   0,   0,   E,   0,   X, 280,   7,     INVEST, S, 
CP, 91, 2023092018, 01, CARQ,   0, 130N, 1370W,  25, 1008, DB,  64, NEQ,    0,    0,    0,    0, 1009,  150,  90,   0,   0,   E,   0,   X, 280,   7,     INVEST, S, 
CP, 91, 2023092018, 03, AC00,   0, 128N, 1376W,  25, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AC00,   6, 129N, 1386W,  26, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AC00,  12, 127N, 1396W,  27, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AC00,  18, 126N, 1404W,  24, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AC00,  24, 124N, 1412W,  24, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AC00,  30, 125N, 1419W,  23, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AC00,  36, 127N, 1420W,  24, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AC00,  42, 132N, 1413W,  22, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AC00,  48, 136N, 1413W,  23, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AC00,  54, 139N, 1416W,  22, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AC00,  60, 137N, 1420W,  23, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AC00,  66, 131N, 1431W,  21, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AEMN,   0, 128N, 1376W,  27, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AEMN,   6, 129N, 1386W,  26, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AEMN,  12, 127N, 1396W,  27, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AEMN,  18, 126N, 1404W,  25, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AEMN,  24, 125N, 1412W,  25, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AEMN,  30, 125N, 1420W,  24, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AEMN,  36, 125N, 1425W,  24, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AEMN,  42, 125N, 1431W,  23, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AEMN,  48, 126N, 1438W,  24, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AEMN,  54, 124N, 1445W,  22, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AEMN,  60, 124N, 1452W,  22, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AEMN,  66, 125N, 1456W,  21, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AEMN,  72, 122N, 1466W,  22, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP01,   0, 126N, 1375W,  27, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP01,   6, 128N, 1383W,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP01,  12, 127N, 1395W,  28, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP01,  18, 125N, 1405W,  26, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP01,  24, 125N, 1413W,  24, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP01,  30, 124N, 1421W,  23, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP01,  36, 125N, 1425W,  22, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP01,  42, 126N, 1421W,  22, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP02,   0, 127N, 1373W,  28, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP02,   6, 128N, 1384W,  27, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP02,  12, 128N, 1395W,  29, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP02,  18, 128N, 1403W,  26, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP02,  24, 125N, 1410W,  26, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP02,  30, 122N, 1417W,  23, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP02,  36, 119N, 1425W,  22, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP02,  42, 119N, 1430W,  21, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP02,  48, 122N, 1432W,  20, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP02,  54, 120N, 1431W,  20, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP03,   0, 127N, 1381W,  24, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP03,   6, 128N, 1390W,  26, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP03,  12, 127N, 1399W,  26, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP03,  18, 124N, 1409W,  25, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP03,  24, 124N, 1417W,  27, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP03,  30, 120N, 1428W,  27, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP03,  36, 118N, 1437W,  25, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP03,  42, 110N, 1445W,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP03,  48, 112N, 1448W,  21, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP04,   0, 126N, 1377W,  27, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP04,   6, 128N, 1388W,  27, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP04,  12, 127N, 1398W,  28, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP04,  18, 126N, 1404W,  23, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP04,  24, 126N, 1410W,  22, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP04,  30, 126N, 1417W,  21, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP04,  36, 126N, 1423W,  21, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP04,  42, 129N, 1426W,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP04,  48, 128N, 1425W,  24, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP04,  54, 123N, 1439W,  21, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP04,  60, 113N, 1463W,  22, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP05,   0, 130N, 1377W,  26, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP05,   6, 131N, 1387W,  26, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP05,  12, 128N, 1399W,  27, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP05,  18, 126N, 1408W,  25, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP05,  24, 125N, 1416W,  24, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP05,  30, 124N, 1425W,  23, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP05,  36, 127N, 1435W,  23, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP05,  42, 129N, 1445W,  22, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP05,  48, 133N, 1453W,  24, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP05,  54, 124N, 1461W,  22, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP06,   0, 127N, 1376W,  25, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP06,   6, 129N, 1383W,  25, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP06,  12, 127N, 1394W,  27, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP06,  18, 128N, 1401W,  25, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP06,  24, 129N, 1407W,  26, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP06,  30, 130N, 1413W,  25, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP06,  36, 129N, 1418W,  22, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP06,  42, 129N, 1408W,  24, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP07,   0, 126N, 1375W,  25, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP07,   6, 128N, 1385W,  25, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP07,  12, 127N, 1396W,  27, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP07,  18, 126N, 1405W,  24, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP07,  24, 123N, 1414W,  23, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP07,  30, 123N, 1421W,  22, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP07,  36, 114N, 1430W,  25, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP07,  42, 109N, 1462W,  23, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP07,  48, 107N, 1475W,  23, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP07,  54, 110N, 1478W,  24, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP07,  60, 112N, 1480W,  25, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP07,  66, 118N, 1480W,  23, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP07,  72, 120N, 1485W,  25, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP07,  78, 120N, 1490W,  22, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP07,  84, 116N, 1497W,  22, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP07,  90, 112N, 1505W,  21, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP07,  96, 113N, 1518W,  22, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP07, 102, 111N, 1538W,  21, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2023092018, 03, AP08,   0, 128N, 1377W,  26, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
