CP, 92, 2020082800, 01, CARQ, -24, 116N, 1389W,  25,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X,   0,   0,     INVEST,  , 
CP, 92, 2020082800, 01, CARQ, -18, 118N, 1404W,  25,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X,   0,   0,     INVEST,  , 
CP, 92, 2020082800, 01, CARQ, -12, 118N, 1413W,  25,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X, 274,   8,     INVEST,  , 
CP, 92, 2020082800, 01, CARQ,  -6, 119N, 1421W,  25,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X,   0,   0,     INVEST,  , 
CP, 92, 2020082800, 01, CARQ,   0, 120N, 1428W,  25, 1008, DB,  34, NEQ,    0,    0,    0,    0, 1010,  160,  50,   0,   0,   C,   0,   X, 275,   8,     INVEST, S, 
CP, 92, 2020082800, 01, CARQ,   0, 120N, 1428W,  25, 1008, DB,  50, NEQ,    0,    0,    0,    0, 1010,  160,  50,   0,   0,   C,   0,   X, 275,   8,     INVEST, S, 
CP, 92, 2020082800, 01, CARQ,   0, 120N, 1428W,  25, 1008, DB,  64, NEQ,    0,    0,    0,    0, 1010,  160,  50,   0,   0,   C,   0,   X, 275,   8,     INVEST, S, 
CP, 92, 2020082800, 03, AC00,   0, 120N, 1422W,  23, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 92, 2020082800, 03, AC00,   6, 125N, 1421W,  25, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 92, 2020082800, 03, AC00,  12, 125N, 1429W,  28, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 92, 2020082800, 03, AC00,  18, 124N, 1431W,  26, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 92, 2020082800, 03, AC00,  24, 125N, 1433W,  23, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 92, 2020082800, 03, AC00,  30, 125N, 1435W,  23, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 92, 2020082800, 03, AC00,  36, 125N, 1441W,  22, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 92, 2020082800, 03, AC00,  42, 127N, 1450W,  25, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 92, 2020082800, 03, AC00,  48, 128N, 1464W,  26, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 92, 2020082800, 03, AC00,  54, 130N, 1476W,  26, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 92, 2020082800, 03, AC00,  60, 131N, 1491W,  26, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 92, 2020082800, 03, AC00,  66, 130N, 1508W,  25, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 92, 2020082800, 03, AC00,  72, 133N, 1523W,  24, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
