EP, 05, 2019071512, 01, CARQ, -24,  92N,  804W,  15,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   E,   0,   X,   0,   0,     INVEST,  , 
EP, 05, 2019071512, 01, CARQ, -18,  92N,  821W,  15,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   E,   0,   X,   0,   0,     INVEST,  , 
EP, 05, 2019071512, 01, CARQ, -12,  91N,  837W,  15,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   E,   0,   X, 268,  14,     INVEST,  , 
EP, 05, 2019071512, 01, CARQ,  -6,  91N,  850W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   E,   0,   X,   0,   0,     INVEST,  , 
EP, 05, 2019071512, 01, CARQ,   0,  91N,  862W,  20, 1008, DB,  34, NEQ,    0,    0,    0,    0, 1010,  120,  40,   0,   0,   E,   0,   X, 270,  12,     INVEST, M, 
EP, 05, 2019071512, 01, CARQ,   0,  91N,  862W,  20, 1008, DB,  50, NEQ,    0,    0,    0,    0, 1010,  120,  40,   0,   0,   E,   0,   X, 270,  12,     INVEST, M, 
EP, 05, 2019071512, 01, CARQ,   0,  91N,  862W,  20, 1008, DB,  64, NEQ,    0,    0,    0,    0, 1010,  120,  40,   0,   0,   E,   0,   X, 270,  12,     INVEST, M, 
EP, 05, 2019071512, 03, AC00,   0,  84N,  863W,  21, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 05, 2019071512, 03, AC00,   6,  84N,  875W,  19, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 05, 2019071512, 03, AC00,  12,  86N,  889W,  21, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 05, 2019071512, 03, AC00,  18,  89N,  904W,  22, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 05, 2019071512, 03, AC00,  24,  90N,  922W,  24, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 05, 2019071512, 03, AC00,  30,  91N,  938W,  22, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 05, 2019071512, 03, AC00,  36,  90N,  954W,  23, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 05, 2019071512, 03, AC00,  42,  93N,  966W,  22, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 05, 2019071512, 03, AC00,  48,  94N,  981W,  21, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 05, 2019071512, 03, AC00,  54,  98N,  994W,  22, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 05, 2019071512, 03, AC00,  60,  99N, 1010W,  18, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 05, 2019071512, 03, AC00,  66, 103N, 1023W,  18, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 05, 2019071512, 03, AC00,  72, 102N, 1035W,  16, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 05, 2019071512, 03, AC00,  78, 101N, 1049W,  17, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
