EP, 10, 2014080406, 03, COTC, 048, 148N, 1293W,  87,  971, XX,  64, NEQ, 0037, 0025, 0008, 0022,    0,    0, 029
EP, 10, 2014080406, 03, COTC, 054, 149N, 1307W,  78,  973, XX,  34, NEQ, 0129, 0054, 0058, 0107,    0,    0, 024
EP, 10, 2014080406, 03, COTC, 054, 149N, 1307W,  78,  973, XX,  50, NEQ, 0045, 0030, 0031, 0045,    0,    0, 024
EP, 10, 2014080406, 03, COTC, 054, 149N, 1307W,  78,  973, XX,  64, NEQ, 0037, 0015, 0025, 0036,    0,    0, 024
EP, 10, 2014080406, 03, COTC, 060, 151N, 1320W,  89,  973, XX,  34, NEQ, 0118, 0066, 0067, 0107,    0,    0, 022
EP, 10, 2014080406, 03, COTC, 060, 151N, 1320W,  89,  973, XX,  50, NEQ, 0042, 0030, 0034, 0042,    0,    0, 022
EP, 10, 2014080406, 03, COTC, 060, 151N, 1320W,  89,  973, XX,  64, NEQ, 0033, 0021, 0022, 0032,    0,    0, 022
EP, 10, 2014080406, 03, COTC, 066, 156N, 1336W,  78,  977, XX,  34, NEQ, 0083, 0064, 0056, 0084,    0,    0, 016
EP, 10, 2014080406, 03, COTC, 066, 156N, 1336W,  78,  977, XX,  50, NEQ, 0041, 0028, 0032, 0042,    0,    0, 016
EP, 10, 2014080406, 03, COTC, 066, 156N, 1336W,  78,  977, XX,  64, NEQ, 0026, 0023, 0020, 0026,    0,    0, 016
EP, 10, 2014080406, 03, COTC, 072, 157N, 1352W,  76,  980, XX,  34, NEQ, 0141, 0065, 0041, 0074,    0,    0, 031
EP, 10, 2014080406, 03, COTC, 072, 157N, 1352W,  76,  980, XX,  50, NEQ, 0049, 0035, 0017, 0041,    0,    0, 031
EP, 10, 2014080406, 03, COTC, 072, 157N, 1352W,  76,  980, XX,  64, NEQ, 0036, 0029, 0000, 0029,    0,    0, 031
EP, 10, 2014080406, 03, COTC, 078, 159N, 1367W,  74,  981, XX,  34, NEQ, 0097, 0060, 0042, 0086,    0,    0, 031
EP, 10, 2014080406, 03, COTC, 078, 159N, 1367W,  74,  981, XX,  50, NEQ, 0052, 0039, 0018, 0050,    0,    0, 031
EP, 10, 2014080406, 03, COTC, 078, 159N, 1367W,  74,  981, XX,  64, NEQ, 0039, 0000, 0000, 0032,    0,    0, 031
EP, 10, 2014080406, 03, COTC, 084, 161N, 1380W,  74,  983, XX,  34, NEQ, 0102, 0076, 0049, 0079,    0,    0, 028
EP, 10, 2014080406, 03, COTC, 084, 161N, 1380W,  74,  983, XX,  50, NEQ, 0048, 0039, 0028, 0043,    0,    0, 028
EP, 10, 2014080406, 03, COTC, 084, 161N, 1380W,  74,  983, XX,  64, NEQ, 0034, 0000, 0000, 0000,    0,    0, 028
EP, 10, 2014080406, 03, COTC, 090, 163N, 1395W,  77,  982, XX,  34, NEQ, 0072, 0065, 0053, 0070,    0,    0, 022
EP, 10, 2014080406, 03, COTC, 090, 163N, 1395W,  77,  982, XX,  50, NEQ, 0044, 0037, 0031, 0039,    0,    0, 022
EP, 10, 2014080406, 03, COTC, 090, 163N, 1395W,  77,  982, XX,  64, NEQ, 0030, 0027, 0000, 0024,    0,    0, 022
EP, 10, 2014080406, 03, COTC, 096, 161N, 1410W,  72,  983, XX,  34, NEQ, 0103, 0063, 0042, 0090,    0,    0, 031
EP, 10, 2014080406, 03, COTC, 096, 161N, 1410W,  72,  983, XX,  50, NEQ, 0056, 0036, 0019, 0051,    0,    0, 031
EP, 10, 2014080406, 03, COTC, 096, 161N, 1410W,  72,  983, XX,  64, NEQ, 0038, 0000, 0000, 0036,    0,    0, 031
EP, 10, 2014080406, 03, COTC, 102, 163N, 1425W,  80,  984, XX,  34, NEQ, 0104, 0064, 0056, 0094,    0,    0, 021
EP, 10, 2014080406, 03, COTC, 102, 163N, 1425W,  80,  984, XX,  50, NEQ, 0040, 0035, 0035, 0040,    0,    0, 021
EP, 10, 2014080406, 03, COTC, 102, 163N, 1425W,  80,  984, XX,  64, NEQ, 0030, 0028, 0000, 0026,    0,    0, 021
EP, 10, 2014080406, 03, COTC, 108, 161N, 1442W,  82,  984, XX,  34, NEQ, 0120, 0060, 0037, 0103,    0,    0, 030
EP, 10, 2014080406, 03, COTC, 108, 161N, 1442W,  82,  984, XX,  50, NEQ, 0053, 0033, 0018, 0054,    0,    0, 030
EP, 10, 2014080406, 03, COTC, 108, 161N, 1442W,  82,  984, XX,  64, NEQ, 0037, 0000, 0000, 0036,    0,    0, 030
EP, 10, 2014080406, 03, COTC, 114, 163N, 1460W,  71,  984, XX,  34, NEQ, 0097, 0076, 0041, 0091,    0,    0, 025
EP, 10, 2014080406, 03, COTC, 114, 163N, 1460W,  71,  984, XX,  50, NEQ, 0057, 0031, 0018, 0049,    0,    0, 025
EP, 10, 2014080406, 03, COTC, 114, 163N, 1460W,  71,  984, XX,  64, NEQ, 0035, 0000, 0000, 0034,    0,    0, 025
EP, 10, 2014080406, 03, COTC, 120, 163N, 1478W,  79,  983, XX,  34, NEQ, 0108, 0067, 0035, 0093,    0,    0, 031
EP, 10, 2014080406, 03, COTC, 120, 163N, 1478W,  79,  983, XX,  50, NEQ, 0047, 0038, 0011, 0043,    0,    0, 031
EP, 10, 2014080406, 03, COTC, 120, 163N, 1478W,  79,  983, XX,  64, NEQ, 0040, 0000, 0000, 0034,    0,    0, 031
EP, 10, 2014080406, 03, GFDN,  90, 159N, 1385W,  59,  985
EP, 10, 2014080406, 03, GFDN,  96, 158N, 1399W,  63,  985
EP, 10, 2014080406, 03, GFDN, 102, 158N, 1415W,  65,  984
EP, 10, 2014080406, 03, GFDN, 108, 157N, 1429W,  67,  982
EP, 10, 2014080406, 03, GFDN, 114, 160N, 1443W,  68,  982
EP, 10, 2014080406, 03, GFDN, 120, 160N, 1458W,  74,  980
EP, 10, 2014080406, 03, GFDN, 126, 164N, 1475W,  67,  982
EP, 10, 2014080406, 03, NVGM, 066, 152N, 1325W,  75,  993, XX,  34, NEQ, 0195, 0118, 0131, 0189
EP, 10, 2014080406, 03, NVGM, 066, 152N, 1325W,  75,  993, XX,  50, NEQ, 0153, 0047, 0064, 0081
EP, 10, 2014080406, 03, NVGM, 066, 152N, 1325W,  75,  993, XX,  64, NEQ, 0092, 0000, 0000, 0000
EP, 10, 2014080406, 03, NVGM, 072, 157N, 1341W,  76,  994, XX,  34, NEQ, 0222, 0112, 0106, 0220
EP, 10, 2014080406, 03, NVGM, 072, 157N, 1341W,  76,  994, XX,  50, NEQ, 0105, 0096, 0078, 0122
EP, 10, 2014080406, 03, NVGM, 072, 157N, 1341W,  76,  994, XX,  64, NEQ, 0102, 0047, 0000, 0037
EP, 10, 2014080406, 03, NVGM, 078, 160N, 1357W,  73,  993, XX,  34, NEQ, 0129, 0142, 0211, 0245
EP, 10, 2014080406, 03, NVGM, 078, 160N, 1357W,  73,  993, XX,  50, NEQ, 0123, 0115, 0109, 0165
EP, 10, 2014080406, 03, NVGM, 078, 160N, 1357W,  73,  993, XX,  64, NEQ, 0051, 0055, 0050, 0094
EP, 10, 2014080406, 03, NVGM, 084, 161N, 1371W,  78,  994, XX,  34, NEQ, 0252, 0125, 0202, 0159
EP, 10, 2014080406, 03, NVGM, 084, 161N, 1371W,  78,  994, XX,  50, NEQ, 0173, 0075, 0096, 0139
EP, 10, 2014080406, 03, NVGM, 084, 161N, 1371W,  78,  994, XX,  64, NEQ, 0104, 0041, 0053, 0073
EP, 10, 2014080406, 03, NVGM, 090, 163N, 1385W,  80,  993, XX,  34, NEQ, 0128, 0156, 0116, 0134
EP, 10, 2014080406, 03, NVGM, 090, 163N, 1385W,  80,  993, XX,  50, NEQ, 0109, 0124, 0073, 0192
EP, 10, 2014080406, 03, NVGM, 090, 163N, 1385W,  80,  993, XX,  64, NEQ, 0069, 0058, 0042, 0124
EP, 10, 2014080406, 03, NVGM, 096, 163N, 1397W,  81,  994, XX,  34, NEQ, 0148, 0136, 0116, 0211
EP, 10, 2014080406, 03, NVGM, 096, 163N, 1397W,  81,  994, XX,  50, NEQ, 0179, 0096, 0097, 0067
EP, 10, 2014080406, 03, NVGM, 096, 163N, 1397W,  81,  994, XX,  64, NEQ, 0095, 0052, 0000, 0065
EP, 10, 2014080406, 03, NVGM, 102, 164N, 1411W,  76,  993, XX,  34, NEQ, 0230, 0130, 0118, 0162
EP, 10, 2014080406, 03, NVGM, 102, 164N, 1411W,  76,  993, XX,  50, NEQ, 0147, 0114, 0100, 0109
EP, 10, 2014080406, 03, NVGM, 102, 164N, 1411W,  76,  993, XX,  64, NEQ, 0079, 0049, 0000, 0088
EP, 10, 2014080406, 03, NVGM, 108, 166N, 1424W,  75,  994, XX,  34, NEQ, 0260, 0135, 0120, 0146
EP, 10, 2014080406, 03, NVGM, 108, 166N, 1424W,  75,  994, XX,  50, NEQ, 0166, 0097, 0086, 0150
EP, 10, 2014080406, 03, NVGM, 108, 166N, 1424W,  75,  994, XX,  64, NEQ, 0083, 0043, 0038, 0052
EP, 10, 2014080406, 03, NVGM, 114, 167N, 1438W,  76,  993, XX,  34, NEQ, 0209, 0160, 0139, 0252
EP, 10, 2014080406, 03, NVGM, 114, 167N, 1438W,  76,  993, XX,  50, NEQ, 0100, 0093, 0083, 0174
EP, 10, 2014080406, 03, NVGM, 114, 167N, 1438W,  76,  993, XX,  64, NEQ, 0080, 0051, 0000, 0106
EP, 10, 2014080406, 03, NVGM, 120, 168N, 1453W,  76,  993, XX,  34, NEQ, 0196, 0153, 0171, 0221
EP, 10, 2014080406, 03, NVGM, 120, 168N, 1453W,  76,  993, XX,  50, NEQ, 0134, 0078, 0088, 0132
EP, 10, 2014080406, 03, NVGM, 120, 168N, 1453W,  76,  993, XX,  64, NEQ, 0086, 0049, 0000, 0078
EP, 10, 2014080406, 03, NVGM, 126, 171N, 1467W,  71,  993, XX,  34, NEQ, 0213, 0151, 0129, 0238
EP, 10, 2014080406, 03, NVGM, 126, 171N, 1467W,  71,  993, XX,  50, NEQ, 0105, 0090, 0089, 0157
EP, 10, 2014080406, 03, NVGM, 126, 171N, 1467W,  71,  993, XX,  64, NEQ, 0072, 0050, 0000, 0087
EP, 10, 2014080406, 03, NVGM, 132, 173N, 1482W,  76,  994, XX,  34, NEQ, 0201, 0128, 0121, 0275
EP, 10, 2014080406, 03, NVGM, 132, 173N, 1482W,  76,  994, XX,  50, NEQ, 0122, 0083, 0077, 0164
EP, 10, 2014080406, 03, NVGM, 132, 173N, 1482W,  76,  994, XX,  64, NEQ, 0093, 0000, 0000, 0077
EP, 10, 2014080406, 03, NVGM, 138, 177N, 1498W,  73,  994, XX,  34, NEQ, 0204, 0130, 0144, 0149
EP, 10, 2014080406, 03, NVGM, 138, 177N, 1498W,  73,  994, XX,  50, NEQ, 0165, 0095, 0062, 0101
EP, 10, 2014080406, 03, NVGM, 138, 177N, 1498W,  73,  994, XX,  64, NEQ, 0071, 0000, 0000, 0061
EP, 10, 2014080406, 03, NVGM, 144, 181N, 1513W,  71,  994, XX,  34, NEQ, 0230, 0167, 0166, 0200
EP, 10, 2014080406, 03, NVGM, 144, 181N, 1513W,  71,  994, XX,  50, NEQ, 0105, 0095, 0058, 0085
EP, 10, 2014080406, 03, NVGM, 144, 181N, 1513W,  71,  994, XX,  64, NEQ, 0093, 0000, 0000, 0082
EP, 10, 2014080406, 03, NVGM, 150, 185N, 1528W,  71,  994, XX,  34, NEQ, 0221, 0129, 0118, 0246
EP, 10, 2014080406, 03, NVGM, 150, 185N, 1528W,  71,  994, XX,  50, NEQ, 0137, 0111, 0052, 0091
EP, 10, 2014080406, 03, NVGM, 150, 185N, 1528W,  71,  994, XX,  64, NEQ, 0083, 0000, 0000, 0064
EP, 10, 2014080406, 03, NVGM, 156, 190N, 1541W,  69,  996, XX,  34, NEQ, 0194, 0166, 0131, 0171
EP, 10, 2014080406, 03, NVGM, 156, 190N, 1541W,  69,  996, XX,  50, NEQ, 0128, 0110, 0043, 0105
