EP, 16, 2014091118, 03, GFDN,   0, 165N, 1203W,  29, 1006
EP, 16, 2014091118, 03, GFDN,   6, 169N, 1200W,  33, 1005
EP, 16, 2014091118, 03, GFDN,  12, 172N, 1198W,  30, 1004
EP, 16, 2014091118, 03, GFDN,  18, 172N, 1195W,  26, 1005
EP, 16, 2014091118, 03, GFDN,  24, 170N, 1191W,  25, 1005
EP, 16, 2014091118, 03, GFDN,  30, 167N, 1186W,  22, 1004
EP, 16, 2014091118, 03, GFDN,  36, 165N, 1183W,  21, 1004
EP, 16, 2014091118, 03, GFDN,  42, 161N, 1179W,  22, 1004
EP, 16, 2014091118, 03, GFDN,  48, 158N, 1173W,  22, 1004
EP, 16, 2014091118, 03, GFDN,  54, 154N, 1166W,  27, 1003
EP, 16, 2014091118, 03, NVGM, 000, 161N, 1203W,  26, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 16, 2014091118, 03, NVGM, 006, 170N, 1199W,  29, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 16, 2014091118, 03, NVGM, 012, 173N, 1196W,  24, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 16, 2014091118, 03, NVGM, 018, 175N, 1193W,  27, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 16, 2014091118, 03, NVGM, 024, 175N, 1187W,  23, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 16, 2014091118, 03, NVGM, 030, 173N, 1184W,  22, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 16, 2014091118, 03, NVGM, 036, 170N, 1181W,  21, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 16, 2014091118, 03, NVGM, 042, 168N, 1179W,  21, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 16, 2014091118, 03, NVGM, 048, 166N, 1177W,  23, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 16, 2014091118, 03, NVGM, 054, 163N, 1173W,  23, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 16, 2014091118, 03, NVGM, 060, 159N, 1171W,  24, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 16, 2014091118, 03, NVGM, 066, 156N, 1166W,  28, 1000, XX,  34, NEQ, 0300, 0270, 0000, 0000
EP, 16, 2014091118, 03, NVGM, 072, 151N, 1159W,  32,  996, XX,  34, NEQ, 0284, 0296, 0000, 0000
EP, 16, 2014091118, 03, NVGM, 072, 151N, 1159W,  32,  996, XX,  50, NEQ, 0271, 0000, 0000, 0000
EP, 16, 2014091118, 03, NVGM, 072, 151N, 1159W,  32,  996, XX,  64, NEQ, 0311, 0000, 0000, 0000
EP, 16, 2014091118, 03, NVGM, 078, 149N, 1145W,  35,  991, XX,  34, NEQ, 0585, 0237, 0155, 0000
EP, 16, 2014091118, 03, NVGM, 078, 149N, 1145W,  35,  991, XX,  50, NEQ, 0585, 0000, 0000, 0000
EP, 16, 2014091118, 03, NVGM, 078, 149N, 1145W,  35,  991, XX,  64, NEQ, 0585, 0000, 0000, 0000
EP, 16, 2014091118, 03, NVGM, 084, 156N, 1121W,  38,  996, XX,  34, NEQ, 0485, 0125, 0104, 0575
EP, 16, 2014091118, 03, NVGM, 084, 156N, 1121W,  38,  996, XX,  50, NEQ, 0485, 0000, 0000, 0278
EP, 16, 2014091118, 03, NVGM, 084, 156N, 1121W,  38,  996, XX,  64, NEQ, 0485, 0000, 0000, 0279
EP, 16, 2014091118, 03, NVGM, 090, 173N, 1098W,  40,  987, XX,  34, NEQ, 0272, 0081, 0000, 0167
EP, 16, 2014091118, 03, NVGM, 090, 173N, 1098W,  40,  987, XX,  50, NEQ, 0000, 0000, 0000, 0267
EP, 16, 2014091118, 03, NVGM, 090, 173N, 1098W,  40,  987, XX,  64, NEQ, 0000, 0000, 0000, 0285
EP, 16, 2014091118, 03, NVGM, 096, 189N, 1085W,  34,  998, XX,  34, NEQ, 0169, 0000, 0000, 0320
EP, 16, 2014091118, 03, NVGM, 096, 189N, 1085W,  34,  998, XX,  50, NEQ, 0000, 0000, 0000, 0293
EP, 16, 2014091118, 03, NVGM, 096, 189N, 1085W,  34,  998, XX,  64, NEQ, 0000, 0000, 0000, 0300
EP, 16, 2014091118, 03, NVGM, 102, 198N, 1077W,  32, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0247
EP, 16, 2014091118, 03, NVGM, 102, 198N, 1077W,  32, 1002, XX,  50, NEQ, 0000, 0000, 0000, 0325
EP, 16, 2014091200, 03, GFDN,   0, 165N, 1202W,  30, 1003
EP, 16, 2014091200, 03, GFDN,   6, 170N, 1201W,  34, 1005
EP, 16, 2014091200, 03, GFDN,  12, 173N, 1199W,  32, 1005
EP, 16, 2014091200, 03, GFDN,  18, 172N, 1194W,  26, 1005
EP, 16, 2014091200, 03, GFDN,  24, 167N, 1192W,  28, 1005
EP, 16, 2014091200, 03, GFDN,  30, 162N, 1192W,  26, 1005
EP, 16, 2014091200, 03, GFDN,  36, 158N, 1190W,  24, 1004
EP, 16, 2014091200, 03, GFDN,  42, 153N, 1184W,  22, 1004
EP, 16, 2014091200, 03, GFDN,  48, 148N, 1177W,  22, 1003
EP, 16, 2014091200, 03, GFDN,  54, 145N, 1169W,  24, 1004
EP, 16, 2014091200, 03, GFDN,  60, 145N, 1154W,  26, 1001
EP, 16, 2014091200, 03, NG01, 000, 174N, 1199W,  30, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 16, 2014091200, 03, NG01, 006, 174N, 1192W,  31, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 16, 2014091200, 03, NG01, 012, 177N, 1186W,  27, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 16, 2014091200, 03, NG01, 018, 175N, 1183W,  26, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
