EP, 17, 2014091606, 03, NVGM, 000, 116N,  983W,  39, 1007, XX,  34, NEQ, 0228, 0000, 0000, 0000
EP, 17, 2014091606, 03, NVGM, 006, 120N,  990W,  38, 1004, XX,  34, NEQ, 0149, 0113, 0000, 0153
EP, 17, 2014091606, 03, NVGM, 012, 126N,  998W,  44, 1004, XX,  34, NEQ, 0168, 0122, 0000, 0094
EP, 17, 2014091606, 03, NVGM, 018, 133N, 1007W,  45, 1001, XX,  34, NEQ, 0126, 0156, 0000, 0115
EP, 17, 2014091606, 03, NVGM, 024, 142N, 1016W,  52, 1001, XX,  34, NEQ, 0172, 0155, 0113, 0118
EP, 17, 2014091606, 03, NVGM, 024, 142N, 1016W,  52, 1001, XX,  50, NEQ, 0100, 0000, 0000, 0000
EP, 17, 2014091606, 03, NVGM, 030, 151N, 1026W,  55,  999, XX,  34, NEQ, 0152, 0155, 0133, 0110
EP, 17, 2014091606, 03, NVGM, 030, 151N, 1026W,  55,  999, XX,  50, NEQ, 0104, 0000, 0000, 0059
EP, 17, 2014091606, 03, NVGM, 036, 161N, 1036W,  60, 1000, XX,  34, NEQ, 0164, 0225, 0098, 0164
EP, 17, 2014091606, 03, NVGM, 036, 161N, 1036W,  60, 1000, XX,  50, NEQ, 0098, 0071, 0000, 0071
EP, 17, 2014091606, 03, NVGM, 042, 173N, 1047W,  62,  999, XX,  34, NEQ, 0141, 0172, 0093, 0085
EP, 17, 2014091606, 03, NVGM, 042, 173N, 1047W,  62,  999, XX,  50, NEQ, 0094, 0064, 0000, 0000
EP, 17, 2014091606, 03, NVGM, 048, 182N, 1060W,  63, 1000, XX,  34, NEQ, 0134, 0175, 0092, 0084
EP, 17, 2014091606, 03, NVGM, 048, 182N, 1060W,  63, 1000, XX,  50, NEQ, 0092, 0065, 0000, 0000
EP, 17, 2014091606, 03, NVGM, 054, 188N, 1073W,  68,  998, XX,  34, NEQ, 0211, 0140, 0157, 0138
EP, 17, 2014091606, 03, NVGM, 054, 188N, 1073W,  68,  998, XX,  50, NEQ, 0140, 0059, 0000, 0107
EP, 17, 2014091606, 03, NVGM, 054, 188N, 1073W,  68,  998, XX,  64, NEQ, 0077, 0000, 0000, 0000
EP, 17, 2014091606, 03, NVGM, 060, 193N, 1083W,  72,  998, XX,  34, NEQ, 0175, 0109, 0092, 0089
EP, 17, 2014091606, 03, NVGM, 060, 193N, 1083W,  72,  998, XX,  50, NEQ, 0128, 0067, 0060, 0064
EP, 17, 2014091606, 03, NVGM, 060, 193N, 1083W,  72,  998, XX,  64, NEQ, 0073, 0000, 0000, 0044
EP, 17, 2014091606, 03, NVGM, 066, 199N, 1089W,  63,  996, XX,  34, NEQ, 0125, 0155, 0040, 0156
EP, 17, 2014091606, 03, NVGM, 066, 199N, 1089W,  63,  996, XX,  50, NEQ, 0081, 0067, 0090, 0073
EP, 17, 2014091606, 03, NVGM, 072, 202N, 1094W,  67,  997, XX,  34, NEQ, 0135, 0135, 0020, 0177
EP, 17, 2014091606, 03, NVGM, 072, 202N, 1094W,  67,  997, XX,  50, NEQ, 0059, 0144, 0086, 0097
EP, 17, 2014091606, 03, NVGM, 072, 202N, 1094W,  67,  997, XX,  64, NEQ, 0062, 0063, 0042, 0000
EP, 17, 2014091606, 03, NVGM, 078, 207N, 1098W,  70,  994, XX,  34, NEQ, 0126, 0235, 0123, 0120
EP, 17, 2014091606, 03, NVGM, 078, 207N, 1098W,  70,  994, XX,  50, NEQ, 0129, 0082, 0064, 0067
EP, 17, 2014091606, 03, NVGM, 078, 207N, 1098W,  70,  994, XX,  64, NEQ, 0064, 0057, 0000, 0000
EP, 17, 2014091606, 03, NVGM, 084, 213N, 1102W,  72,  995, XX,  34, NEQ, 0159, 0149, 0172, 0102
EP, 17, 2014091606, 03, NVGM, 084, 213N, 1102W,  72,  995, XX,  50, NEQ, 0140, 0097, 0088, 0074
EP, 17, 2014091606, 03, NVGM, 084, 213N, 1102W,  72,  995, XX,  64, NEQ, 0076, 0054, 0000, 0000
EP, 17, 2014091606, 03, NVGM, 090, 219N, 1105W,  71,  993, XX,  34, NEQ, 0135, 0132, 0149, 0112
EP, 17, 2014091606, 03, NVGM, 090, 219N, 1105W,  71,  993, XX,  50, NEQ, 0109, 0099, 0068, 0032
EP, 17, 2014091606, 03, NVGM, 090, 219N, 1105W,  71,  993, XX,  64, NEQ, 0000, 0051, 0000, 0000
EP, 17, 2014091606, 03, NVGM, 096, 224N, 1110W,  65,  995, XX,  34, NEQ, 0153, 0199, 0138, 0082
EP, 17, 2014091606, 03, NVGM, 096, 224N, 1110W,  65,  995, XX,  50, NEQ, 0100, 0091, 0061, 0039
EP, 17, 2014091606, 03, NVGM, 096, 224N, 1110W,  65,  995, XX,  64, NEQ, 0059, 0000, 0000, 0000
EP, 17, 2014091606, 03, NVGM, 102, 229N, 1114W,  65,  994, XX,  34, NEQ, 0165, 0187, 0146, 0145
EP, 17, 2014091606, 03, NVGM, 102, 229N, 1114W,  65,  994, XX,  50, NEQ, 0122, 0083, 0059, 0047
EP, 17, 2014091606, 03, NVGM, 102, 229N, 1114W,  65,  994, XX,  64, NEQ, 0056, 0000, 0000, 0000
EP, 17, 2014091606, 03, NVGM, 108, 235N, 1117W,  69,  994, XX,  34, NEQ, 0164, 0162, 0137, 0179
EP, 17, 2014091606, 03, NVGM, 108, 235N, 1117W,  69,  994, XX,  50, NEQ, 0088, 0074, 0052, 0087
EP, 17, 2014091606, 03, NVGM, 108, 235N, 1117W,  69,  994, XX,  64, NEQ, 0000, 0048, 0000, 0000
EP, 17, 2014091606, 03, NVGM, 114, 242N, 1120W,  64,  993, XX,  34, NEQ, 0151, 0214, 0107, 0125
EP, 17, 2014091606, 03, NVGM, 114, 242N, 1120W,  64,  993, XX,  50, NEQ, 0079, 0115, 0056, 0025
EP, 17, 2014091606, 03, NVGM, 120, 248N, 1123W,  58,  995, XX,  34, NEQ, 0123, 0096, 0099, 0073
EP, 17, 2014091606, 03, NVGM, 120, 248N, 1123W,  58,  995, XX,  50, NEQ, 0057, 0073, 0061, 0077
EP, 17, 2014091606, 03, NVGM, 126, 256N, 1125W,  62,  994, XX,  34, NEQ, 0133, 0158, 0101, 0145
EP, 17, 2014091606, 03, NVGM, 126, 256N, 1125W,  62,  994, XX,  50, NEQ, 0052, 0059, 0036, 0052
EP, 17, 2014091606, 03, NVGM, 132, 266N, 1124W,  64,  997, XX,  34, NEQ, 0118, 0092, 0122, 0075
EP, 17, 2014091606, 03, NVGM, 132, 266N, 1124W,  64,  997, XX,  50, NEQ, 0065, 0060, 0000, 0000
EP, 17, 2014091606, 03, NVGM, 138, 278N, 1121W,  63,  996, XX,  34, NEQ, 0124, 0127, 0078, 0056
EP, 17, 2014091606, 03, NVGM, 138, 278N, 1121W,  63,  996, XX,  50, NEQ, 0071, 0087, 0000, 0000
EP, 17, 2014091606, 03, NVGM, 144, 291N, 1120W,  49,  998, XX,  34, NEQ, 0074, 0094, 0149, 0030
EP, 17, 2014091606, 03, NVGM, 150, 310N, 1116W,  39,  999, XX,  34, NEQ, 0000, 0064, 0000, 0000
EP, 17, 2014091606, 03, NVGM, 156, 331N, 1110W,  31, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, COTC, 000, 124N,  991W,  35, 1005, XX,  34, NEQ, 0059, 0000, 0000, 0000,    0,    0, 054
EP, 17, 2014091612, 03, COTC, 006, 125N, 1000W,  38, 1006, XX,  34, NEQ, 0133, 0058, 0044, 0000,    0,    0, 041
EP, 17, 2014091612, 03, COTC, 012, 131N, 1007W,  44, 1003, XX,  34, NEQ, 0231, 0096, 0142, 0137,    0,    0, 106
EP, 17, 2014091612, 03, COTC, 018, 139N, 1016W,  50, 1004, XX,  34, NEQ, 0121, 0158, 0104, 0000,    0,    0, 036
EP, 17, 2014091612, 03, COTC, 024, 149N, 1026W,  57,  999, XX,  34, NEQ, 0148, 0050, 0076, 0119,    0,    0, 030
EP, 17, 2014091612, 03, COTC, 024, 149N, 1026W,  57,  999, XX,  50, NEQ, 0035, 0039, 0000, 0000,    0,    0, 030
EP, 17, 2014091612, 03, COTC, 030, 154N, 1036W,  50,  998, XX,  34, NEQ, 0155, 0071, 0062, 0065,    0,    0, 024
EP, 17, 2014091612, 03, COTC, 036, 160N, 1042W,  47,  993, XX,  34, NEQ, 0117, 0060, 0071, 0044,    0,    0, 020
