EP, 80, 2007051912, 01, CARQ, -24,  99N, 1219W,  25,    0, DB,  34, AAA,    0,    0,    0,    0, 
EP, 80, 2007051912, 01, CARQ, -18,  99N, 1226W,  25,    0, DB,  34, AAA,    0,    0,    0,    0, 
EP, 80, 2007051912, 01, CARQ, -12,  99N, 1230W,  25,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   E,   0,   X, 270,   3, 
EP, 80, 2007051912, 01, CARQ,  -6,  99N, 1233W,  25,    0, DB,  34, AAA,    0,    0,    0,    0, 
EP, 80, 2007051912, 01, CARQ,   0,  99N, 1237W,  25, 1011, DB,  34, NEQ,    0,    0,    0,    0, 1012,  150,   0,   0,   0,   E,   0,   X, 270,   4,       TEST, S, 
EP, 80, 2007051912, 01, CARQ,   0,  99N, 1237W,  25, 1011, DB,  50, NEQ,    0,    0,    0,    0, 1012,  150,   0,   0,   0,   E,   0,   X, 270,   4,       TEST, S, 
EP, 80, 2007051912, 01, CARQ,   0,  99N, 1237W,  25, 1011, DB,  64, NEQ,    0,    0,    0,    0, 1012,  150,   0,   0,   0,   E,   0,   X, 270,   4,       TEST, S, 
EP, 80, 2007051912, 03, BAMD,  12, 104N, 1252W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 80, 2007051912, 03, BAMD,  24, 109N, 1264W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 80, 2007051912, 03, BAMD,  36, 113N, 1274W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 80, 2007051912, 03, BAMD,  48, 118N, 1280W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 80, 2007051912, 03, BAMD,  60, 121N, 1283W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 80, 2007051912, 03, BAMD,  72, 122N, 1285W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 80, 2007051912, 03, BAMD,  84, 127N, 1291W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 80, 2007051912, 03, BAMD,  96, 135N, 1299W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 80, 2007051912, 03, BAMD, 108, 147N, 1305W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 80, 2007051912, 03, BAMD, 120, 166N, 1304W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 80, 2007051912, 03, BAMM,  12, 102N, 1252W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 80, 2007051912, 03, BAMM,  24, 102N, 1265W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 80, 2007051912, 03, BAMM,  36, 100N, 1279W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 80, 2007051912, 03, BAMM,  48,  98N, 1291W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 80, 2007051912, 03, BAMM,  60,  96N, 1302W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 80, 2007051912, 03, BAMM,  72,  94N, 1313W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 80, 2007051912, 03, BAMM,  84,  96N, 1322W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 80, 2007051912, 03, BAMM,  96,  99N, 1333W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 80, 2007051912, 03, BAMM, 108, 103N, 1345W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 80, 2007051912, 03, BAMM, 120, 107N, 1355W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 80, 2007051912, 03, BAMS,  12, 104N, 1261W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 80, 2007051912, 03, BAMS,  24, 107N, 1283W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 80, 2007051912, 03, BAMS,  36, 107N, 1302W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 80, 2007051912, 03, BAMS,  48, 105N, 1317W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 80, 2007051912, 03, BAMS,  60, 104N, 1328W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 80, 2007051912, 03, BAMS,  72, 102N, 1337W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 80, 2007051912, 03, BAMS,  84, 104N, 1344W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 80, 2007051912, 03, BAMS,  96, 108N, 1353W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 80, 2007051912, 03, BAMS, 108, 115N, 1361W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 80, 2007051912, 03, BAMS, 120, 118N, 1368W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 80, 2007051912, 03, CLIP,  12,  99N, 1244W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 80, 2007051912, 03, CLIP,  24,  99N, 1247W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 80, 2007051912, 03, CLIP,  36, 102N, 1251W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 80, 2007051912, 03, CLIP,  48, 102N, 1255W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 80, 2007051912, 03, CLIP,  60, 104N, 1258W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 80, 2007051912, 03, CLIP,  72, 104N, 1256W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 80, 2007051912, 03, CLP5,  12, 101N, 1247W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 80, 2007051912, 03, CLP5,  24, 105N, 1259W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 80, 2007051912, 03, CLP5,  36, 110N, 1272W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 80, 2007051912, 03, CLP5,  48, 115N, 1285W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 80, 2007051912, 03, CLP5,  60, 119N, 1301W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 80, 2007051912, 03, CLP5,  72, 125N, 1318W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 80, 2007051912, 03, CLP5,  84, 128N, 1333W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 80, 2007051912, 03, CLP5,  96, 132N, 1350W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 80, 2007051912, 03, CLP5, 108, 137N, 1367W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 80, 2007051912, 03, CLP5, 120, 141N, 1385W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 80, 2007051912, 03, DSHP,   0,  99N, 1237W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 80, 2007051912, 03, DSHP,  12, 103N, 1246W,  29,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 80, 2007051912, 03, DSHP,  24, 109N, 1253W,  34,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 80, 2007051912, 03, DSHP,  36, 114N, 1261W,  36,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 80, 2007051912, 03, DSHP,  48, 115N, 1267W,  37,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 80, 2007051912, 03, DSHP,  60, 120N, 1271W,  32,    0,   ,   0,    ,    0,    0,    0,    0, 
