EP, 86, 2021062418, 03, CTCX, 000, 137N,  996W,  22, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 108
EP, 86, 2021062418, 03, CTCX, 006, 143N, 1000W,  39, 1006, XX,  34, NEQ, 0064, 0000, 0000, 0000,    0,    0, 032
EP, 86, 2021062418, 03, CTCX, 012, 148N, 1010W,  40, 1007, XX,  34, NEQ, 0080, 0167, 0156, 0052,    0,    0, 039
EP, 86, 2021062418, 03, CTCX, 018, 152N, 1021W,  43,  999, XX,  34, NEQ, 0120, 0177, 0172, 0039,    0,    0, 073
EP, 86, 2021062418, 03, CTCX, 024, 152N, 1027W,  49,  996, XX,  34, NEQ, 0070, 0148, 0106, 0063,    0,    0, 024
EP, 86, 2021062418, 03, CTCX, 030, 152N, 1033W,  68,  986, XX,  34, NEQ, 0062, 0154, 0113, 0029,    0,    0, 013
EP, 86, 2021062418, 03, CTCX, 030, 152N, 1033W,  68,  986, XX,  50, NEQ, 0028, 0033, 0030, 0012,    0,    0, 013
EP, 86, 2021062418, 03, CTCX, 030, 152N, 1033W,  68,  986, XX,  64, NEQ, 0015, 0000, 0000, 0000,    0,    0, 013
EP, 86, 2021062418, 03, CTCX, 036, 157N, 1037W,  69,  988, XX,  34, NEQ, 0165, 0197, 0104, 0052,    0,    0, 028
EP, 86, 2021062418, 03, CTCX, 036, 157N, 1037W,  69,  988, XX,  50, NEQ, 0043, 0045, 0000, 0000,    0,    0, 028
EP, 86, 2021062418, 03, CTCX, 036, 157N, 1037W,  69,  988, XX,  64, NEQ, 0031, 0034, 0000, 0000,    0,    0, 028
EP, 86, 2021062418, 03, CTCX, 042, 165N, 1040W,  64,  983, XX,  34, NEQ, 0105, 0190, 0218, 0107,    0,    0, 029
EP, 86, 2021062418, 03, CTCX, 042, 165N, 1040W,  64,  983, XX,  50, NEQ, 0055, 0024, 0000, 0033,    0,    0, 029
EP, 86, 2021062418, 03, CTCX, 042, 165N, 1040W,  64,  983, XX,  64, NEQ, 0032, 0000, 0000, 0000,    0,    0, 029
EP, 86, 2021062418, 03, CTCX, 048, 170N, 1048W,  64,  985, XX,  34, NEQ, 0145, 0148, 0248, 0077,    0,    0, 024
EP, 86, 2021062418, 03, CTCX, 048, 170N, 1048W,  64,  985, XX,  50, NEQ, 0088, 0027, 0000, 0041,    0,    0, 024
EP, 86, 2021062418, 03, CTCX, 048, 170N, 1048W,  64,  985, XX,  64, NEQ, 0027, 0000, 0000, 0024,    0,    0, 024
EP, 86, 2021062418, 03, CTCX, 054, 175N, 1054W,  68,  977, XX,  34, NEQ, 0155, 0205, 0292, 0082,    0,    0, 017
EP, 86, 2021062418, 03, CTCX, 054, 175N, 1054W,  68,  977, XX,  50, NEQ, 0065, 0022, 0025, 0037,    0,    0, 017
EP, 86, 2021062418, 03, CTCX, 054, 175N, 1054W,  68,  977, XX,  64, NEQ, 0000, 0000, 0000, 0022,    0,    0, 017
EP, 86, 2021062418, 03, CTCX, 060, 174N, 1061W,  72,  974, XX,  34, NEQ, 0200, 0196, 0228, 0115,    0,    0, 016
