IO, 01, 2019042700, 03, COTC, 000,  44N,  879E,  35, 1005, XX,  34, NEQ, 0042, 0000, 0000, 0000,    0,    0, 039
IO, 01, 2019042700, 03, COTC, 006,  50N,  887E,  44, 1005, XX,  34, NEQ, 0194, 0110, 0000, 0000,    0,    0, 108
IO, 01, 2019042700, 03, COTC, 012,  64N,  893E,  38, 1001, XX,  34, NEQ, 0112, 0286, 0000, 0043,    0,    0, 030
IO, 01, 2019042700, 03, COTC, 018,  70N,  882E,  38, 1001, XX,  34, NEQ, 0248, 0020, 0008, 0009,    0,    0, 023
IO, 01, 2019042700, 03, COTC, 024,  71N,  876E,  45,  999, XX,  34, NEQ, 0195, 0013, 0036, 0047,    0,    0, 021
IO, 01, 2019042700, 03, COTC, 030,  77N,  874E,  39, 1003, XX,  34, NEQ, 0000, 0057, 0051, 0090,    0,    0, 047
IO, 01, 2019042700, 03, COTC, 036,  81N,  875E,  42,  999, XX,  34, NEQ, 0038, 0112, 0120, 0056,    0,    0, 105
IO, 01, 2019042700, 03, COTC, 042,  84N,  875E,  46, 1001, XX,  34, NEQ, 0224, 0211, 0095, 0175,    0,    0, 037
IO, 01, 2019042700, 03, COTC, 048,  91N,  872E,  44, 1000, XX,  34, NEQ, 0091, 0230, 0128, 0173,    0,    0, 069
IO, 01, 2019042700, 03, COTC, 054,  94N,  870E,  52,  995, XX,  34, NEQ, 0137, 0115, 0131, 0111,    0,    0, 028
IO, 01, 2019042700, 03, COTC, 054,  94N,  870E,  52,  995, XX,  50, NEQ, 0000, 0030, 0000, 0000,    0,    0, 028
IO, 01, 2019042700, 03, COTC, 060, 101N,  866E,  68,  983, XX,  34, NEQ, 0173, 0271, 0129, 0096,    0,    0, 021
IO, 01, 2019042700, 03, COTC, 060, 101N,  866E,  68,  983, XX,  50, NEQ, 0025, 0029, 0026, 0017,    0,    0, 021
IO, 01, 2019042700, 03, COTC, 060, 101N,  866E,  68,  983, XX,  64, NEQ, 0000, 0022, 0016, 0000,    0,    0, 021
IO, 01, 2019042700, 03, COTC, 066, 105N,  866E,  68,  984, XX,  34, NEQ, 0245, 0128, 0093, 0174,    0,    0, 018
IO, 01, 2019042700, 03, COTC, 066, 105N,  866E,  68,  984, XX,  50, NEQ, 0032, 0032, 0035, 0053,    0,    0, 018
IO, 01, 2019042700, 03, COTC, 066, 105N,  866E,  68,  984, XX,  64, NEQ, 0000, 0021, 0020, 0000,    0,    0, 018
