IO, 01, 2020051606, 03, NVGM, 000,  99N,  862E,  34,  997, XX,  34, NEQ, 0109, 0000, 0145, 0000,    0,    0, 144
IO, 01, 2020051606, 03, NVGM, 006,  98N,  863E,  44,  991, XX,  34, NEQ, 0095, 0162, 0145, 0071,    0,    0, 088
IO, 01, 2020051606, 03, NVGM, 012, 103N,  866E,  55,  988, XX,  34, NEQ, 0126, 0110, 0180, 0065,    0,    0, 080
IO, 01, 2020051606, 03, NVGM, 012, 103N,  866E,  55,  988, XX,  50, NEQ, 0000, 0094, 0081, 0000,    0,    0, 080
IO, 01, 2020051606, 03, NVGM, 018, 109N,  868E,  63,  980, XX,  34, NEQ, 0136, 0252, 0080, 0036,    0,    0, 059
IO, 01, 2020051606, 03, NVGM, 018, 109N,  868E,  63,  980, XX,  50, NEQ, 0087, 0100, 0080, 0047,    0,    0, 059
IO, 01, 2020051606, 03, NVGM, 024, 116N,  867E,  68,  976, XX,  34, NEQ, 0110, 0230, 0232, 0150,    0,    0, 050
IO, 01, 2020051606, 03, NVGM, 024, 116N,  867E,  68,  976, XX,  50, NEQ, 0103, 0136, 0112, 0101,    0,    0, 050
IO, 01, 2020051606, 03, NVGM, 024, 116N,  867E,  68,  976, XX,  64, NEQ, 0061, 0062, 0076, 0047,    0,    0, 050
IO, 01, 2020051606, 03, NVGM, 030, 122N,  868E,  80,  968, XX,  34, NEQ, 0213, 0070, 0250, 0201,    0,    0, 042
IO, 01, 2020051606, 03, NVGM, 030, 122N,  868E,  80,  968, XX,  50, NEQ, 0116, 0070, 0121, 0116,    0,    0, 042
IO, 01, 2020051606, 03, NVGM, 030, 122N,  868E,  80,  968, XX,  64, NEQ, 0074, 0070, 0077, 0045,    0,    0, 042
IO, 01, 2020051606, 03, NVGM, 036, 127N,  869E,  92,  964, XX,  34, NEQ, 0191, 0110, 0257, 0090,    0,    0, 038
IO, 01, 2020051606, 03, NVGM, 036, 127N,  869E,  92,  964, XX,  50, NEQ, 0123, 0110, 0139, 0090,    0,    0, 038
IO, 01, 2020051606, 03, NVGM, 036, 127N,  869E,  92,  964, XX,  64, NEQ, 0072, 0080, 0090, 0074,    0,    0, 038
IO, 01, 2020051606, 03, NVGM, 042, 134N,  873E,  97,  956, XX,  34, NEQ, 0065, 0245, 0198, 0211,    0,    0, 030
IO, 01, 2020051606, 03, NVGM, 042, 134N,  873E,  97,  956, XX,  50, NEQ, 0065, 0166, 0151, 0109,    0,    0, 030
IO, 01, 2020051606, 03, NVGM, 042, 134N,  873E,  97,  956, XX,  64, NEQ, 0087, 0094, 0093, 0051,    0,    0, 030
IO, 01, 2020051606, 03, NVGM, 048, 143N,  876E, 115,  952, XX,  34, NEQ, 0224, 0260, 0287, 0204,    0,    0, 028
IO, 01, 2020051606, 03, NVGM, 048, 143N,  876E, 115,  952, XX,  50, NEQ, 0147, 0186, 0180, 0116,    0,    0, 028
IO, 01, 2020051606, 03, NVGM, 048, 143N,  876E, 115,  952, XX,  64, NEQ, 0087, 0096, 0096, 0081,    0,    0, 028
IO, 01, 2020051606, 03, NVGM, 054, 152N,  881E, 128,  946, XX,  34, NEQ, 0206, 0120, 0075, 0040,    0,    0, 027
IO, 01, 2020051606, 03, NVGM, 054, 152N,  881E, 128,  946, XX,  50, NEQ, 0114, 0120, 0075, 0040,    0,    0, 027
IO, 01, 2020051606, 03, NVGM, 054, 152N,  881E, 128,  946, XX,  64, NEQ, 0082, 0114, 0075, 0040,    0,    0, 027
IO, 01, 2020051606, 03, NVGM, 060, 163N,  886E, 139,  943, XX,  34, NEQ, 0235, 0120, 0206, 0206,    0,    0, 018
IO, 01, 2020051606, 03, NVGM, 060, 163N,  886E, 139,  943, XX,  50, NEQ, 0155, 0120, 0160, 0122,    0,    0, 018
IO, 01, 2020051606, 03, NVGM, 060, 163N,  886E, 139,  943, XX,  64, NEQ, 0098, 0121, 0110, 0081,    0,    0, 018
IO, 01, 2020051606, 03, NVGM, 066, 175N,  891E, 150,  937, XX,  34, NEQ, 0135, 0075, 0135, 0100,    0,    0, 020
IO, 01, 2020051606, 03, NVGM, 066, 175N,  891E, 150,  937, XX,  50, NEQ, 0135, 0075, 0135, 0100,    0,    0, 020
IO, 01, 2020051606, 03, NVGM, 066, 175N,  891E, 150,  937, XX,  64, NEQ, 0124, 0075, 0096, 0085,    0,    0, 020
IO, 01, 2020051606, 03, NVGM, 072, 191N,  894E, 134,  934, XX,  34, NEQ, 0178, 0240, 0245, 0035,    0,    0, 024
IO, 01, 2020051606, 03, NVGM, 072, 191N,  894E, 134,  934, XX,  50, NEQ, 0169, 0215, 0162, 0035,    0,    0, 024
IO, 01, 2020051606, 03, NVGM, 072, 191N,  894E, 134,  934, XX,  64, NEQ, 0114, 0180, 0102, 0035,    0,    0, 024
IO, 01, 2020051606, 03, NVGM, 078, 205N,  904E, 149,  932, XX,  34, NEQ, 0125, 0065, 0263, 0174,    0,    0, 027
IO, 01, 2020051606, 03, NVGM, 078, 205N,  904E, 149,  932, XX,  50, NEQ, 0121, 0065, 0184, 0155,    0,    0, 027
IO, 01, 2020051606, 03, NVGM, 078, 205N,  904E, 149,  932, XX,  64, NEQ, 0099, 0065, 0111, 0117,    0,    0, 027
IO, 01, 2020051606, 03, NVGM, 084, 221N,  909E, 115,  945, XX,  34, NEQ, 0060, 0229, 0197, 0168,    0,    0, 021
IO, 01, 2020051606, 03, NVGM, 084, 221N,  909E, 115,  945, XX,  50, NEQ, 0056, 0151, 0134, 0103,    0,    0, 021
IO, 01, 2020051606, 03, NVGM, 084, 221N,  909E, 115,  945, XX,  64, NEQ, 0048, 0087, 0101, 0057,    0,    0, 021
IO, 01, 2020051606, 03, NVGM, 090, 239N,  913E,  52,  964, XX,  34, NEQ, 0052, 0118, 0147, 0042,    0,    0, 086
IO, 01, 2020051606, 03, NVGM, 090, 239N,  913E,  52,  964, XX,  50, NEQ, 0000, 0076, 0000, 0000,    0,    0, 086
IO, 01, 2020051606, 03, NVGM, 096, 253N,  920E,  17,  987, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 089
IO, 01, 2020051606, 03, NVGM, 102, 264N,  940E,  12,  994, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 057
IO, 01, 2020051606, 03, NVGM, 108, 271N,  952E,   7, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 011
IO, 01, 2020051612, 03, COTC, 000, 102N,  860E,  43,  993, XX,  34, NEQ, 0088, 0151, 0130, 0082,    0,    0, 108
IO, 01, 2020051612, 03, COTC, 006, 108N,  866E,  70,  989, XX,  34, NEQ, 0195, 0235, 0137, 0122,    0,    0, 048
IO, 01, 2020051612, 03, COTC, 006, 108N,  866E,  70,  989, XX,  50, NEQ, 0109, 0061, 0053, 0080,    0,    0, 048
IO, 01, 2020051612, 03, COTC, 006, 108N,  866E,  70,  989, XX,  64, NEQ, 0051, 0051, 0000, 0000,    0,    0, 048
IO, 01, 2020051612, 03, COTC, 012, 112N,  863E,  69,  985, XX,  34, NEQ, 0158, 0252, 0155, 0169,    0,    0, 045
IO, 01, 2020051612, 03, COTC, 012, 112N,  863E,  69,  985, XX,  50, NEQ, 0082, 0000, 0048, 0091,    0,    0, 045
IO, 01, 2020051612, 03, COTC, 012, 112N,  863E,  69,  985, XX,  64, NEQ, 0000, 0000, 0000, 0050,    0,    0, 045
IO, 01, 2020051612, 03, COTC, 018, 115N,  864E,  70,  978, XX,  34, NEQ, 0250, 0239, 0167, 0193,    0,    0, 033
IO, 01, 2020051612, 03, COTC, 018, 115N,  864E,  70,  978, XX,  50, NEQ, 0073, 0071, 0073, 0074,    0,    0, 033
