IO, 04, 2021111106, 01, CARQ,   0, 130N, 0809E,  35,  997, XX,  34, NEQ,   20,   25,   35,   25, 1007,  270,  35,   0,   0,   B,   0,   X, 315,  10,       FOUR, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, IO042021, JTWC, NCEP_TCVITALS, 
IO, 04, 2021111106, 01, CARQ,   0, 130N, 0809E,  35,  997, XX,  50, NEQ,    0,    0,    0,    0, 1007,  270,  35,   0,   0,   B,   0,   X, 315,  10,       FOUR, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, IO042021, JTWC, NCEP_TCVITALS, 
IO, 04, 2021111106, 01, CARQ,   0, 130N, 0809E,  35,  997, XX,  64, NEQ,    0,    0,    0,    0, 1007,  270,  35,   0,   0,   B,   0,   X, 315,  10,       FOUR, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, IO042021, JTWC, NCEP_TCVITALS, 
IO, 04, 2021111106, 03, AC00, 000, 128N,  808E,  35,  998, XX,  34, NEQ, 0000, 0046, 0000, 0000
IO, 04, 2021111106, 03, AC00, 006, 131N,  803E,  28,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 04, 2021111106, 03, AC00, 012, 128N,  797E,  19, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 04, 2021111106, 03, AC00, 018, 127N,  794E,  15, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 04, 2021111106, 03, AC00, 024, 127N,  795E,  14, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 04, 2021111106, 03, AC00, 030, 130N,  794E,  12, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 04, 2021111106, 03, AC00, 036, 134N,  793E,  12, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 04, 2021111106, 03, AC00, 042, 138N,  791E,  12, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 04, 2021111106, 03, AC00, 048, 138N,  780E,  11, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 04, 2021111106, 03, AC00, 054, 141N,  769E,  10, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 04, 2021111106, 03, AEMN, 000, 128N,  808E,  38,  998, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 04, 2021111106, 03, AEMN, 006, 131N,  802E,  28,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 04, 2021111106, 03, AEMN, 012, 130N,  796E,  20, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 04, 2021111106, 03, AEMN, 018, 129N,  793E,  17, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 04, 2021111106, 03, AEMN, 024, 131N,  788E,  14, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
