IO, 08, 2018121606, 03, AC00, 000, 125N,  837E,  39,  996, XX,  34, NEQ, 0097, 0065, 0101, 0089
IO, 08, 2018121606, 03, AC00, 006, 133N,  833E,  45,  997, XX,  34, NEQ, 0193, 0000, 0109, 0193
IO, 08, 2018121606, 03, AC00, 012, 141N,  831E,  42,  998, XX,  34, NEQ, 0114, 0110, 0090, 0123
IO, 08, 2018121606, 03, AC00, 018, 150N,  830E,  39,  998, XX,  34, NEQ, 0091, 0091, 0086, 0097
IO, 08, 2018121606, 03, AC00, 024, 161N,  830E,  40, 1000, XX,  34, NEQ, 0071, 0091, 0000, 0063
IO, 08, 2018121606, 03, AC00, 030, 171N,  830E,  38, 1002, XX,  34, NEQ, 0000, 0061, 0000, 0000
IO, 08, 2018121606, 03, AC00, 036, 182N,  830E,  28, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AC00, 042, 194N,  832E,  21, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AC00, 048, 207N,  844E,  22, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AC00, 054, 211N,  853E,  24, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AEMN, 000, 125N,  837E,  40,  996, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AEMN, 006, 133N,  834E,  43,  997, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AEMN, 012, 142N,  831E,  43,  998, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AEMN, 018, 151N,  830E,  40,  998, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AEMN, 024, 161N,  828E,  37, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AEMN, 030, 171N,  828E,  33, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AEMN, 036, 181N,  827E,  26, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AEMN, 042, 190N,  827E,  20, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AEMN, 048, 195N,  834E,  19, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
