IO, 90, 2019113018, 03, AC00, 000,  58N,  580E,  21, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 90, 2019113018, 03, AC00, 006,  59N,  572E,  25, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 90, 2019113018, 03, AC00, 012,  59N,  566E,  28, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 90, 2019113018, 03, AC00, 018,  58N,  564E,  29, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 90, 2019113018, 03, AC00, 024,  60N,  557E,  29, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 90, 2019113018, 03, AC00, 030,  54N,  547E,  30, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 90, 2019113018, 03, AC00, 036,  54N,  546E,  31, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 90, 2019113018, 03, AC00, 042,  53N,  541E,  32, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 90, 2019113018, 03, AC00, 048,  52N,  547E,  31, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 90, 2019113018, 03, AC00, 054,  55N,  540E,  32, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 90, 2019113018, 03, AC00, 060,  53N,  537E,  34, 1002, XX,  34, NEQ, 0000, 0000, 0071, 0000
IO, 90, 2019113018, 03, AC00, 066,  52N,  540E,  32,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 90, 2019113018, 03, AC00, 072,  52N,  538E,  34, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0139
IO, 90, 2019113018, 03, AC00, 078,  51N,  537E,  34,  998, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 90, 2019113018, 03, AC00, 084,  52N,  535E,  37, 1000, XX,  34, NEQ, 0000, 0000, 0101, 0000
IO, 90, 2019113018, 03, AC00, 090,  55N,  534E,  35,  997, XX,  34, NEQ, 0000, 0000, 0118, 0080
IO, 90, 2019113018, 03, AC00, 096,  57N,  533E,  36, 1000, XX,  34, NEQ, 0000, 0000, 0089, 0111
IO, 90, 2019113018, 03, AC00, 102,  58N,  528E,  39,  997, XX,  34, NEQ, 0000, 0000, 0080, 0112
IO, 90, 2019113018, 03, AC00, 108,  61N,  523E,  41,  999, XX,  34, NEQ, 0094, 0000, 0085, 0102
IO, 90, 2019113018, 03, AC00, 114,  65N,  519E,  43,  994, XX,  34, NEQ, 0080, 0000, 0089, 0112
IO, 90, 2019113018, 03, AC00, 120,  65N,  514E,  43,  997, XX,  34, NEQ, 0091, 0000, 0088, 0110
IO, 90, 2019113018, 03, AC00, 126,  65N,  509E,  45,  993, XX,  34, NEQ, 0072, 0062, 0066, 0096
IO, 90, 2019113018, 03, AC00, 132,  66N,  503E,  45,  996, XX,  34, NEQ, 0085, 0040, 0064, 0087
IO, 90, 2019113018, 03, AC00, 138,  66N,  497E,  37,  995, XX,  34, NEQ, 0059, 0053, 0058, 0000
IO, 90, 2019113018, 03, AC00, 144,  66N,  491E,  33, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 90, 2019113018, 03, AC00, 150,  66N,  485E,  27, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 90, 2019113018, 03, AC00, 156,  70N,  481E,  24, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 90, 2019113018, 03, AC00, 162,  73N,  472E,  22, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 90, 2019113018, 03, AC00, 168,  76N,  464E,  22, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 90, 2019113018, 03, AC00, 174,  79N,  455E,  21, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 90, 2019113018, 03, AC00, 180,  80N,  445E,  21, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 90, 2019113018, 03, AC00, 186,  81N,  437E,  14, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 90, 2019113018, 03, AC00, 192,  78N,  432E,  11, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 90, 2019113018, 03, AEMN, 000,  58N,  580E,  26, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 90, 2019113018, 03, AEMN, 006,  59N,  575E,  26, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
