IO, 91, 2020051418, 03, COTC, 000, 101N,  868E,  20, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 108
IO, 91, 2020051418, 03, COTC, 006,  96N,  864E,  36,  998, XX,  34, NEQ, 0235, 0146, 0000, 0000,    0,    0, 106
IO, 91, 2020051418, 03, COTC, 012, 100N,  855E,  38, 1000, XX,  34, NEQ, 0237, 0096, 0000, 0000,    0,    0, 087
IO, 91, 2020051418, 03, COTC, 018, 109N,  852E,  38,  994, XX,  34, NEQ, 0000, 0265, 0097, 0000,    0,    0, 086
IO, 91, 2020051418, 03, NVGM, 000, 103N,  869E,  19, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 155
IO, 91, 2020051418, 03, NVGM, 006, 103N,  871E,  20, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 111
IO, 91, 2020051418, 03, NVGM, 012, 102N,  870E,  28, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 097
IO, 91, 2020051418, 03, NVGM, 018, 104N,  863E,  31, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 068
IO, 91, 2020051418, 03, NVGM, 024, 103N,  859E,  25, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 129
IO, 91, 2020051418, 03, NVGM, 030, 102N,  860E,  31,  998, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 081
IO, 91, 2020051418, 03, NVGM, 036, 106N,  862E,  36,  997, XX,  34, NEQ, 0000, 0100, 0000, 0000,    0,    0, 084
IO, 91, 2020051418, 03, NVGM, 042, 111N,  862E,  37,  992, XX,  34, NEQ, 0096, 0139, 0098, 0070,    0,    0, 102
IO, 91, 2020051418, 03, NVGM, 048, 117N,  862E,  45,  991, XX,  34, NEQ, 0134, 0185, 0180, 0041,    0,    0, 063
IO, 91, 2020051418, 03, NVGM, 054, 123N,  863E,  51,  985, XX,  34, NEQ, 0153, 0170, 0217, 0037,    0,    0, 052
IO, 91, 2020051418, 03, NVGM, 054, 123N,  863E,  51,  985, XX,  50, NEQ, 0000, 0000, 0056, 0000,    0,    0, 052
IO, 91, 2020051418, 03, NVGM, 060, 129N,  864E,  59,  981, XX,  34, NEQ, 0270, 0270, 0238, 0066,    0,    0, 059
IO, 91, 2020051418, 03, NVGM, 060, 129N,  864E,  59,  981, XX,  50, NEQ, 0058, 0108, 0095, 0047,    0,    0, 059
IO, 91, 2020051418, 03, NVGM, 066, 136N,  867E,  67,  974, XX,  34, NEQ, 0030, 0230, 0173, 0025,    0,    0, 041
IO, 91, 2020051418, 03, NVGM, 066, 136N,  867E,  67,  974, XX,  50, NEQ, 0100, 0127, 0094, 0036,    0,    0, 041
IO, 91, 2020051418, 03, NVGM, 066, 136N,  867E,  67,  974, XX,  64, NEQ, 0000, 0050, 0049, 0000,    0,    0, 041
IO, 91, 2020051418, 03, NVGM, 072, 144N,  869E,  80,  968, XX,  34, NEQ, 0251, 0195, 0035, 0208,    0,    0, 040
IO, 91, 2020051418, 03, NVGM, 072, 144N,  869E,  80,  968, XX,  50, NEQ, 0112, 0148, 0035, 0103,    0,    0, 040
IO, 91, 2020051418, 03, NVGM, 072, 144N,  869E,  80,  968, XX,  64, NEQ, 0068, 0077, 0035, 0000,    0,    0, 040
IO, 91, 2020051418, 03, NVGM, 078, 152N,  874E,  98,  960, XX,  34, NEQ, 0150, 0220, 0270, 0070,    0,    0, 038
IO, 91, 2020051418, 03, NVGM, 078, 152N,  874E,  98,  960, XX,  50, NEQ, 0090, 0129, 0159, 0127,    0,    0, 038
IO, 91, 2020051418, 03, NVGM, 078, 152N,  874E,  98,  960, XX,  64, NEQ, 0078, 0092, 0091, 0079,    0,    0, 038
IO, 91, 2020051418, 03, NVGM, 084, 162N,  876E, 103,  956, XX,  34, NEQ, 0140, 0110, 0130, 0180,    0,    0, 028
IO, 91, 2020051418, 03, NVGM, 084, 162N,  876E, 103,  956, XX,  50, NEQ, 0126, 0110, 0130, 0128,    0,    0, 028
IO, 91, 2020051418, 03, NVGM, 084, 162N,  876E, 103,  956, XX,  64, NEQ, 0076, 0093, 0079, 0074,    0,    0, 028
IO, 91, 2020051418, 03, NVGM, 090, 172N,  877E, 118,  950, XX,  34, NEQ, 0235, 0135, 0233, 0045,    0,    0, 019
IO, 91, 2020051418, 03, NVGM, 090, 172N,  877E, 118,  950, XX,  50, NEQ, 0148, 0135, 0138, 0045,    0,    0, 019
IO, 91, 2020051418, 03, NVGM, 090, 172N,  877E, 118,  950, XX,  64, NEQ, 0088, 0105, 0111, 0045,    0,    0, 019
IO, 91, 2020051418, 03, NVGM, 096, 181N,  878E, 137,  945, XX,  34, NEQ, 0135, 0075, 0130, 0030,    0,    0, 019
IO, 91, 2020051418, 03, NVGM, 096, 181N,  878E, 137,  945, XX,  50, NEQ, 0135, 0075, 0128, 0030,    0,    0, 019
IO, 91, 2020051418, 03, NVGM, 096, 181N,  878E, 137,  945, XX,  64, NEQ, 0121, 0075, 0070, 0030,    0,    0, 019
IO, 91, 2020051418, 03, NVGM, 102, 191N,  880E, 126,  939, XX,  34, NEQ, 0205, 0260, 0150, 0025,    0,    0, 027
IO, 91, 2020051418, 03, NVGM, 102, 191N,  880E, 126,  939, XX,  50, NEQ, 0175, 0177, 0133, 0025,    0,    0, 027
IO, 91, 2020051418, 03, NVGM, 102, 191N,  880E, 126,  939, XX,  64, NEQ, 0102, 0112, 0101, 0025,    0,    0, 027
IO, 91, 2020051418, 03, NVGM, 108, 202N,  882E, 135,  938, XX,  34, NEQ, 0200, 0125, 0220, 0080,    0,    0, 018
IO, 91, 2020051418, 03, NVGM, 108, 202N,  882E, 135,  938, XX,  50, NEQ, 0192, 0125, 0140, 0080,    0,    0, 018
IO, 91, 2020051418, 03, NVGM, 108, 202N,  882E, 135,  938, XX,  64, NEQ, 0107, 0100, 0094, 0083,    0,    0, 018
IO, 91, 2020051418, 03, NVGM, 114, 214N,  885E, 126,  940, XX,  34, NEQ, 0190, 0115, 0040, 0086,    0,    0, 026
IO, 91, 2020051418, 03, NVGM, 114, 214N,  885E, 126,  940, XX,  50, NEQ, 0169, 0115, 0040, 0074,    0,    0, 026
IO, 91, 2020051418, 03, NVGM, 114, 214N,  885E, 126,  940, XX,  64, NEQ, 0103, 0094, 0040, 0065,    0,    0, 026
