IO, 95, 2024101118, 01, CARQ,   0, 155N, 0670E,  20, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1008,  350,    ,   0,   0,   A,   0,   X, 280,   5,     INVEST, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, IO952024, JTWC, NCEP_TCVITALS, 
IO, 95, 2024101118, 01, CARQ,   0, 155N, 0670E,  20, 1004, XX,  50, NEQ,    0,    0,    0,    0, 1008,  350,    ,   0,   0,   A,   0,   X, 280,   5,     INVEST, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, IO952024, JTWC, NCEP_TCVITALS, 
IO, 95, 2024101118, 01, CARQ,   0, 155N, 0670E,  20, 1004, XX,  64, NEQ,    0,    0,    0,    0, 1008,  350,    ,   0,   0,   A,   0,   X, 280,   5,     INVEST, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, IO952024, JTWC, NCEP_TCVITALS, 
IO, 95, 2024101118, 03, AC00, 000, 158N,  669E,  21, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2024101118, 03, AC00, 006, 157N,  664E,  20, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2024101118, 03, AC00, 012, 157N,  661E,  21, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2024101118, 03, AC00, 018, 154N,  661E,  22, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2024101118, 03, AC00, 024, 155N,  657E,  21, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2024101118, 03, AC00, 030, 158N,  656E,  18, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2024101118, 03, AC00, 036, 157N,  650E,  20, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2024101118, 03, AC00, 042, 160N,  646E,  22, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2024101118, 03, AC00, 048, 160N,  639E,  20, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2024101118, 03, AC00, 054, 159N,  631E,  18, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2024101118, 03, AC00, 060, 158N,  627E,  18, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2024101118, 03, AC00, 066, 161N,  623E,  19, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2024101118, 03, AC00, 072, 162N,  614E,  16, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2024101118, 03, AC00, 078, 159N,  604E,  15, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2024101118, 03, AC00, 084, 161N,  596E,  16, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2024101118, 03, AC00, 090, 168N,  589E,  18, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2024101118, 03, AC00, 096, 167N,  583E,  15, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2024101118, 03, AC00, 102, 167N,  576E,  15, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2024101118, 03, AC00, 108, 168N,  571E,  14, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2024101118, 03, AC00, 114, 167N,  567E,  15, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2024101118, 03, AC00, 120, 167N,  562E,  12, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2024101118, 03, AC00, 126, 168N,  553E,  10, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2024101118, 03, AC00, 132, 171N,  541E,  12, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2024101118, 03, AC00, 138, 170N,  541E,  13, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2024101118, 03, AEMN, 000, 158N,  670E,  22, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2024101118, 03, AEMN, 006, 159N,  665E,  21, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2024101118, 03, AEMN, 012, 157N,  662E,  21, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2024101118, 03, AEMN, 018, 157N,  660E,  22, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2024101118, 03, AEMN, 024, 157N,  657E,  21, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2024101118, 03, AEMN, 030, 157N,  653E,  20, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2024101118, 03, AEMN, 036, 158N,  648E,  21, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2024101118, 03, AEMN, 042, 160N,  643E,  22, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2024101118, 03, AEMN, 048, 160N,  637E,  20, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2024101118, 03, AEMN, 054, 160N,  631E,  20, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2024101118, 03, AEMN, 060, 160N,  622E,  20, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2024101118, 03, AEMN, 066, 160N,  615E,  21, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2024101118, 03, AEMN, 072, 159N,  607E,  20, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2024101118, 03, AEMN, 078, 159N,  598E,  20, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2024101118, 03, AEMN, 084, 160N,  587E,  20, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2024101118, 03, AEMN, 090, 160N,  580E,  20, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2024101118, 03, AEMN, 096, 159N,  574E,  19, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2024101118, 03, AEMN, 102, 159N,  568E,  19, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2024101118, 03, AEMN, 108, 157N,  560E,  18, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2024101118, 03, AEMN, 114, 155N,  554E,  19, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2024101118, 03, AEMN, 120, 154N,  552E,  18, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2024101118, 03, AEMN, 126, 156N,  556E,  18, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2024101118, 03, AEMN, 132, 159N,  553E,  19, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2024101118, 03, AEMN, 138, 157N,  555E,  20, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2024101118, 03, AEMN, 144, 155N,  559E,  18, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2024101118, 03, AEMN, 150, 158N,  557E,  17, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2024101118, 03, AEMN, 156, 156N,  554E,  18, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2024101118, 03, AP01, 000, 147N,  674E,  22, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2024101118, 03, AP01, 006, 151N,  676E,  21, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2024101118, 03, AP01, 012, 151N,  673E,  19, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2024101118, 03, AP01, 018, 154N,  665E,  23, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2024101118, 03, AP01, 024, 153N,  663E,  20, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2024101118, 03, AP01, 030, 155N,  650E,  21, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 95, 2024101118, 03, AP01, 036, 154N,  645E,  24, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
