IO, 97, 2022121406, 01, CARQ,   0, 135N, 0699E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1010,  300,  20,   0,   0,   A,   0,   X, 295,   7,     INVEST, M,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, IO972022, JTWC, NCEP_TCVITALS, 
IO, 97, 2022121406, 01, CARQ,   0, 135N, 0699E,  30, 1000, XX,  50, NEQ,    0,    0,    0,    0, 1010,  300,  20,   0,   0,   A,   0,   X, 295,   7,     INVEST, M,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, IO972022, JTWC, NCEP_TCVITALS, 
IO, 97, 2022121406, 01, CARQ,   0, 135N, 0699E,  30, 1000, XX,  64, NEQ,    0,    0,    0,    0, 1010,  300,  20,   0,   0,   A,   0,   X, 295,   7,     INVEST, M,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, IO972022, JTWC, NCEP_TCVITALS, 
IO, 97, 2022121406, 03, AC00, 000, 135N,  699E,  23, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AC00, 006, 139N,  696E,  24, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AC00, 012, 141N,  691E,  25, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AC00, 018, 145N,  683E,  33, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AC00, 024, 147N,  674E,  28, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AC00, 030, 148N,  667E,  25, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AC00, 036, 146N,  661E,  24, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AC00, 042, 145N,  654E,  21, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AC00, 048, 146N,  647E,  20, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AC00, 054, 147N,  639E,  21, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AC00, 060, 148N,  631E,  20, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AC00, 066, 149N,  624E,  20, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AC00, 072, 148N,  614E,  19, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AC00, 078, 145N,  607E,  22, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AC00, 084, 145N,  596E,  21, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AC00, 090, 143N,  585E,  21, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AC00, 096, 131N,  577E,  20, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AEMN, 000, 136N,  699E,  26, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AEMN, 006, 139N,  696E,  26, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AEMN, 012, 141N,  690E,  28, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AEMN, 018, 143N,  683E,  32, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AEMN, 024, 145N,  675E,  29, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AEMN, 030, 147N,  669E,  26, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AEMN, 036, 147N,  662E,  24, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AEMN, 042, 146N,  654E,  22, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AEMN, 048, 146N,  646E,  21, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AEMN, 054, 147N,  639E,  22, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AEMN, 060, 145N,  632E,  21, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AEMN, 066, 145N,  624E,  20, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AEMN, 072, 143N,  615E,  20, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AEMN, 078, 142N,  607E,  21, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AEMN, 084, 138N,  599E,  22, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AEMN, 090, 137N,  589E,  21, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AEMN, 096, 132N,  579E,  21, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AEMN, 102, 121N,  565E,  24, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP01, 000, 138N,  698E,  27, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP01, 006, 141N,  696E,  22, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP01, 012, 143N,  690E,  23, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP01, 018, 145N,  684E,  25, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP01, 024, 147N,  677E,  24, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP01, 030, 150N,  672E,  24, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP01, 036, 150N,  665E,  22, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP01, 042, 147N,  657E,  22, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP01, 048, 147N,  647E,  20, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP01, 054, 147N,  640E,  22, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP01, 060, 146N,  631E,  23, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP01, 066, 147N,  624E,  22, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP01, 072, 146N,  617E,  22, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP01, 078, 147N,  607E,  23, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP01, 084, 137N,  595E,  23, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP01, 090, 137N,  585E,  21, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP01, 096, 141N,  581E,  23, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP01, 102, 126N,  577E,  20, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP02, 000, 134N,  698E,  23, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP02, 006, 138N,  695E,  21, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP02, 012, 140N,  691E,  26, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP02, 018, 144N,  684E,  27, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP02, 024, 147N,  674E,  24, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP02, 030, 147N,  666E,  21, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP02, 036, 145N,  659E,  20, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP02, 042, 141N,  649E,  18, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP02, 048, 139N,  641E,  19, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP02, 054, 137N,  634E,  20, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP02, 060, 133N,  628E,  20, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP02, 066, 131N,  619E,  20, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP02, 072, 127N,  610E,  21, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP02, 078, 120N,  597E,  19, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP02, 084, 113N,  586E,  20, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP03, 000, 136N,  705E,  27, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP03, 006, 141N,  700E,  28, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP03, 012, 143N,  694E,  27, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP03, 018, 147N,  690E,  35, 1001, XX,  34, NEQ, 0048, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP03, 024, 150N,  685E,  33, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP03, 030, 154N,  681E,  30, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP03, 036, 154N,  675E,  28, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP03, 042, 155N,  670E,  23, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP03, 048, 156N,  663E,  21, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP03, 054, 158N,  654E,  20, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP03, 060, 156N,  647E,  20, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP03, 066, 153N,  637E,  19, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP03, 072, 153N,  630E,  20, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP03, 078, 143N,  622E,  20, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP03, 084, 133N,  618E,  20, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP04, 000, 145N,  704E,  35, 1002, XX,  34, NEQ, 0033, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP04, 006, 152N,  697E,  36, 1000, XX,  34, NEQ, 0000, 0022, 0000, 0029
IO, 97, 2022121406, 03, AP04, 012, 152N,  691E,  36, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0050
IO, 97, 2022121406, 03, AP04, 018, 154N,  684E,  41, 1000, XX,  34, NEQ, 0077, 0000, 0000, 0048
IO, 97, 2022121406, 03, AP04, 024, 153N,  677E,  33, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP04, 030, 154N,  672E,  27, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP04, 036, 154N,  665E,  24, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP04, 042, 154N,  659E,  21, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP04, 048, 155N,  652E,  20, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP04, 054, 157N,  645E,  20, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP04, 060, 158N,  637E,  19, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP04, 066, 161N,  629E,  17, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP04, 072, 159N,  623E,  18, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP04, 078, 156N,  617E,  16, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP04, 084, 156N,  607E,  18, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP05, 000, 135N,  698E,  26, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP05, 006, 136N,  695E,  21, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP05, 012, 140N,  690E,  24, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP05, 018, 145N,  681E,  28, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP05, 024, 146N,  672E,  28, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP05, 030, 147N,  664E,  24, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP05, 036, 143N,  656E,  22, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP05, 042, 140N,  648E,  21, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP05, 048, 138N,  639E,  19, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP05, 054, 137N,  630E,  20, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP05, 060, 138N,  623E,  19, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP05, 066, 134N,  611E,  18, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP05, 072, 127N,  602E,  18, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP06, 000, 134N,  698E,  25, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP06, 006, 137N,  694E,  21, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP06, 012, 136N,  688E,  23, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP06, 018, 136N,  682E,  32, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP06, 024, 139N,  673E,  29, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP06, 030, 139N,  664E,  25, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP06, 036, 138N,  656E,  23, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP06, 042, 136N,  649E,  24, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP06, 048, 136N,  640E,  24, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP06, 054, 134N,  632E,  24, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP06, 060, 131N,  624E,  23, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP06, 066, 130N,  614E,  22, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP06, 072, 129N,  603E,  23, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP06, 078, 127N,  591E,  23, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP06, 084, 123N,  579E,  25, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP06, 090, 118N,  565E,  26, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP06, 096, 108N,  551E,  25, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP06, 102, 103N,  539E,  28, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP06, 108,  91N,  526E,  29, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP06, 114,  70N,  518E,  26, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP06, 120,  46N,  508E,  27, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP06, 126,  31N,  501E,  22, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP06, 132,  25N,  492E,  22, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP06, 138,  20N,  486E,  22, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP06, 144,  10N,  488E,  20, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP07, 000, 134N,  700E,  23, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP07, 006, 136N,  697E,  23, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP07, 012, 139N,  691E,  27, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP07, 018, 143N,  685E,  34, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0045
IO, 97, 2022121406, 03, AP07, 024, 144N,  678E,  35, 1005, XX,  34, NEQ, 0042, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP07, 030, 143N,  670E,  32, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP07, 036, 140N,  661E,  27, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP07, 042, 136N,  652E,  24, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP07, 048, 132N,  645E,  22, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP07, 054, 130N,  638E,  22, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP07, 060, 126N,  630E,  21, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP07, 066, 124N,  620E,  20, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP07, 072, 124N,  609E,  19, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP07, 078, 122N,  599E,  20, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 97, 2022121406, 03, AP07, 084, 119N,  587E,  23, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
