IO, 99, 2023092900, 01, CARQ,   0, 158N, 0723E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1006,  190,  25,   0,   0,   A,   0,   X, 270,   3,     INVEST, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, IO992023, JTWC, NCEP_TCVITALS, 
IO, 99, 2023092900, 01, CARQ,   0, 158N, 0723E,  25, 1004, XX,  50, NEQ,    0,    0,    0,    0, 1006,  190,  25,   0,   0,   A,   0,   X, 270,   3,     INVEST, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, IO992023, JTWC, NCEP_TCVITALS, 
IO, 99, 2023092900, 01, CARQ,   0, 158N, 0723E,  25, 1004, XX,  64, NEQ,    0,    0,    0,    0, 1006,  190,  25,   0,   0,   A,   0,   X, 270,   3,     INVEST, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, IO992023, JTWC, NCEP_TCVITALS, 
IO, 99, 2023092900, 03, AC00, 000, 159N,  724E,  27, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 99, 2023092900, 03, AC00, 006, 161N,  723E,  29, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 99, 2023092900, 03, AC00, 012, 164N,  723E,  26, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 99, 2023092900, 03, AC00, 018, 163N,  723E,  28, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 99, 2023092900, 03, AC00, 024, 160N,  723E,  28, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 99, 2023092900, 03, AC00, 030, 161N,  725E,  27, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 99, 2023092900, 03, AC00, 036, 163N,  728E,  26, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 99, 2023092900, 03, AC00, 042, 163N,  734E,  26, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 99, 2023092900, 03, AC00, 048, 163N,  742E,  26, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 99, 2023092900, 03, AC00, 054, 165N,  750E,  22, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 99, 2023092900, 03, AC00, 060, 169N,  760E,  22, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 99, 2023092900, 03, AC00, 066, 166N,  765E,  20, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 99, 2023092900, 03, AC00, 072, 159N,  776E,  16, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 99, 2023092900, 03, AC00, 078, 159N,  790E,  18, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 99, 2023092900, 03, AC00, 084, 153N,  796E,  19, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 99, 2023092900, 03, AC00, 090, 149N,  809E,  25, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 99, 2023092900, 03, AC00, 096, 152N,  825E,  27, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 99, 2023092900, 03, AC00, 102, 169N,  835E,  27, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 99, 2023092900, 03, AC00, 108, 187N,  852E,  25, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 99, 2023092900, 03, AEMN, 000, 159N,  724E,  29, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 99, 2023092900, 03, AEMN, 006, 160N,  723E,  30, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 99, 2023092900, 03, AEMN, 012, 163N,  724E,  28, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 99, 2023092900, 03, AEMN, 018, 163N,  724E,  27, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 99, 2023092900, 03, AEMN, 024, 162N,  723E,  27, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 99, 2023092900, 03, AEMN, 030, 162N,  724E,  27, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 99, 2023092900, 03, AEMN, 036, 163N,  727E,  28, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 99, 2023092900, 03, AEMN, 042, 162N,  734E,  25, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 99, 2023092900, 03, AEMN, 048, 162N,  739E,  24, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 99, 2023092900, 03, AEMN, 054, 162N,  745E,  23, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 99, 2023092900, 03, AEMN, 060, 164N,  756E,  23, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 99, 2023092900, 03, AEMN, 066, 161N,  764E,  20, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 99, 2023092900, 03, AEMN, 072, 158N,  773E,  20, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 99, 2023092900, 03, AEMN, 078, 156N,  782E,  22, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 99, 2023092900, 03, AEMN, 084, 155N,  786E,  20, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 99, 2023092900, 03, AEMN, 090, 151N,  792E,  22, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 99, 2023092900, 03, AEMN, 096, 151N,  801E,  23, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 99, 2023092900, 03, AP01, 000, 158N,  726E,  25, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 99, 2023092900, 03, AP01, 006, 160N,  726E,  28, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 99, 2023092900, 03, AP01, 012, 165N,  727E,  25, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 99, 2023092900, 03, AP01, 018, 164N,  727E,  26, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 99, 2023092900, 03, AP01, 024, 167N,  729E,  24, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 99, 2023092900, 03, AP01, 030, 168N,  727E,  20, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 99, 2023092900, 03, AP01, 036, 168N,  730E,  27, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 99, 2023092900, 03, AP01, 042, 169N,  736E,  24, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 99, 2023092900, 03, AP01, 048, 167N,  745E,  23, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 99, 2023092900, 03, AP01, 054, 167N,  763E,  24, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 99, 2023092900, 03, AP01, 060, 172N,  778E,  20, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 99, 2023092900, 03, AP01, 066, 172N,  791E,  21, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 99, 2023092900, 03, AP01, 072, 167N,  804E,  21, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 99, 2023092900, 03, AP01, 078, 167N,  813E,  20, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 99, 2023092900, 03, AP01, 084, 169N,  826E,  25, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 99, 2023092900, 03, AP02, 000, 158N,  725E,  29, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 99, 2023092900, 03, AP02, 006, 159N,  725E,  30, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 99, 2023092900, 03, AP02, 012, 164N,  726E,  26, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 99, 2023092900, 03, AP02, 018, 164N,  725E,  26, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 99, 2023092900, 03, AP02, 024, 163N,  723E,  28, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 99, 2023092900, 03, AP02, 030, 164N,  726E,  31, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 99, 2023092900, 03, AP02, 036, 167N,  731E,  26, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 99, 2023092900, 03, AP02, 042, 167N,  736E,  24, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 99, 2023092900, 03, AP02, 048, 168N,  742E,  24, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 99, 2023092900, 03, AP02, 054, 164N,  750E,  24, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 99, 2023092900, 03, AP02, 060, 165N,  766E,  21, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 99, 2023092900, 03, AP02, 066, 167N,  782E,  18, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 99, 2023092900, 03, AP02, 072, 162N,  799E,  20, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
