SH, 05, 2024122700, 01, CARQ,   0, 119S, 0951E,  35, 1002, XX,  34, NEQ,   45,   55,   45,   45, 1010,  210,  55,   0,   0,   S,   0,   X,  90,   2,       FIVE, M,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, SH052025, JTWC, NCEP_TCVITALS, 
SH, 05, 2024122700, 01, CARQ,   0, 119S, 0951E,  35, 1002, XX,  50, NEQ,    0,    0,    0,    0, 1010,  210,  55,   0,   0,   S,   0,   X,  90,   2,       FIVE, M,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, SH052025, JTWC, NCEP_TCVITALS, 
SH, 05, 2024122700, 01, CARQ,   0, 119S, 0951E,  35, 1002, XX,  64, NEQ,    0,    0,    0,    0, 1010,  210,  55,   0,   0,   S,   0,   X,  90,   2,       FIVE, M,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, SH052025, JTWC, NCEP_TCVITALS, 
SH, 05, 2024122700, 03, AC00, 000, 118S,  951E,  33, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 05, 2024122700, 03, AC00, 006, 124S,  957E,  28, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 05, 2024122700, 03, AC00, 012, 127S,  963E,  29, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 05, 2024122700, 03, AC00, 018, 131S,  966E,  27, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 05, 2024122700, 03, AC00, 024, 136S,  967E,  26, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 05, 2024122700, 03, AC00, 030, 142S,  968E,  25, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 05, 2024122700, 03, AC00, 036, 146S,  969E,  27, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 05, 2024122700, 03, AC00, 042, 147S,  969E,  24, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 05, 2024122700, 03, AC00, 048, 148S,  969E,  24, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 05, 2024122700, 03, AC00, 054, 148S,  967E,  24, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 05, 2024122700, 03, AC00, 060, 147S,  965E,  25, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 05, 2024122700, 03, AC00, 066, 145S,  960E,  24, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 05, 2024122700, 03, AC00, 072, 145S,  952E,  23, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 05, 2024122700, 03, AC00, 078, 147S,  942E,  24, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 05, 2024122700, 03, AC00, 084, 148S,  932E,  26, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 05, 2024122700, 03, AC00, 090, 143S,  917E,  29, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 05, 2024122700, 03, AC00, 096, 144S,  899E,  29, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 05, 2024122700, 03, AC00, 102, 144S,  884E,  26, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 05, 2024122700, 03, AC00, 108, 149S,  875E,  28, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 05, 2024122700, 03, AC00, 114, 150S,  858E,  25, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 05, 2024122700, 03, AC00, 120, 150S,  844E,  24, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 05, 2024122700, 03, AC00, 126, 148S,  837E,  23, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 05, 2024122700, 03, AC00, 132, 149S,  829E,  24, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 05, 2024122700, 03, AC00, 138, 148S,  824E,  25, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 05, 2024122700, 03, AC00, 144, 147S,  816E,  27, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 05, 2024122700, 03, AC00, 150, 145S,  809E,  24, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 05, 2024122700, 03, AC00, 156, 145S,  803E,  25, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 05, 2024122700, 03, AC00, 162, 145S,  798E,  24, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 05, 2024122700, 03, AC00, 168, 147S,  790E,  24, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 05, 2024122700, 03, AC00, 174, 149S,  782E,  23, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 05, 2024122700, 03, AC00, 180, 149S,  775E,  23, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 05, 2024122700, 03, AC00, 186, 147S,  770E,  25, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 05, 2024122700, 03, AC00, 192, 147S,  764E,  26, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 05, 2024122700, 03, AEMN, 000, 118S,  952E,  38, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 05, 2024122700, 03, AEMN, 006, 124S,  957E,  31, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 05, 2024122700, 03, AEMN, 012, 128S,  963E,  31, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 05, 2024122700, 03, AEMN, 018, 131S,  965E,  29, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 05, 2024122700, 03, AEMN, 024, 136S,  966E,  27, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 05, 2024122700, 03, AEMN, 030, 141S,  966E,  26, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 05, 2024122700, 03, AEMN, 036, 145S,  968E,  28, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 05, 2024122700, 03, AEMN, 042, 147S,  969E,  26, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
