SH, 07, 2016011418, 03, CTCX, 000, 140S, 1652W,  35,  996, XX,  34, NEQ, 0292, 0238, 0000, 0227,    0,    0, 076
SH, 07, 2016011418, 03, CTCX, 006, 145S, 1660W,  46,  993, XX,  34, NEQ, 0333, 0249, 0105, 0241,    0,    0, 056
SH, 07, 2016011418, 03, CTCX, 006, 145S, 1660W,  46,  993, XX,  50, NEQ, 0000, 0152, 0000, 0000,    0,    0, 056
SH, 07, 2016011418, 03, CTCX, 012, 142S, 1658W,  50,  987, XX,  34, NEQ, 0313, 0258, 0202, 0228,    0,    0, 090
SH, 07, 2016011418, 03, CTCX, 012, 142S, 1658W,  50,  987, XX,  50, NEQ, 0233, 0000, 0090, 0000,    0,    0, 090
SH, 07, 2016011418, 03, CTCX, 018, 146S, 1659W,  54,  986, XX,  34, NEQ, 0317, 0295, 0200, 0217,    0,    0, 091
SH, 07, 2016011418, 03, CTCX, 018, 146S, 1659W,  54,  986, XX,  50, NEQ, 0086, 0232, 0047, 0129,    0,    0, 091
SH, 07, 2016011418, 03, CTCX, 024, 144S, 1656W,  64,  981, XX,  34, NEQ, 0321, 0291, 0217, 0218,    0,    0, 062
SH, 07, 2016011418, 03, CTCX, 024, 144S, 1656W,  64,  981, XX,  50, NEQ, 0137, 0198, 0094, 0121,    0,    0, 062
SH, 07, 2016011418, 03, CTCX, 024, 144S, 1656W,  64,  981, XX,  64, NEQ, 0062, 0000, 0000, 0000,    0,    0, 062
SH, 07, 2016011418, 03, CTCX, 030, 150S, 1657W,  66,  978, XX,  34, NEQ, 0319, 0269, 0242, 0233,    0,    0, 103
SH, 07, 2016011418, 03, CTCX, 030, 150S, 1657W,  66,  978, XX,  50, NEQ, 0165, 0161, 0113, 0108,    0,    0, 103
SH, 07, 2016011418, 03, CTCX, 030, 150S, 1657W,  66,  978, XX,  64, NEQ, 0106, 0000, 0000, 0000,    0,    0, 103
SH, 07, 2016011418, 03, CTCX, 036, 152S, 1659W,  73,  975, XX,  34, NEQ, 0297, 0280, 0233, 0205,    0,    0, 046
