SH, 10, 2023012018, 01, CARQ,   0, 212S, 1618E,  35,  999, XX,  34, NEQ,  130,   75,   45,  120, 1004,  285,  25,   0,   0,   P,   0,   X, 125,  15,        TEN, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, SH102023, JTWC, NCEP_TCVITALS, 
SH, 10, 2023012018, 01, CARQ,   0, 212S, 1618E,  35,  999, XX,  50, NEQ,    0,    0,    0,    0, 1004,  285,  25,   0,   0,   P,   0,   X, 125,  15,        TEN, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, SH102023, JTWC, NCEP_TCVITALS, 
SH, 10, 2023012018, 01, CARQ,   0, 212S, 1618E,  35,  999, XX,  64, NEQ,    0,    0,    0,    0, 1004,  285,  25,   0,   0,   P,   0,   X, 125,  15,        TEN, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, SH102023, JTWC, NCEP_TCVITALS, 
SH, 10, 2023012018, 03, AC00, 000, 206S, 1613E,  42,  997, XX,  34, NEQ, 0158, 0122, 0088, 0085
SH, 10, 2023012018, 03, AC00, 006, 215S, 1623E,  35,  998, XX,  34, NEQ, 0000, 0000, 0094, 0000
SH, 10, 2023012018, 03, AC00, 012, 224S, 1632E,  41,  996, XX,  34, NEQ, 0000, 0170, 0125, 0000
SH, 10, 2023012018, 03, AC00, 018, 224S, 1633E,  41, 1000, XX,  34, NEQ, 0000, 0239, 0097, 0000
SH, 10, 2023012018, 03, AC00, 024, 224S, 1631E,  32,  999, XX,  34, NEQ, 0000, 0241, 0000, 0000
SH, 10, 2023012018, 03, AC00, 030, 224S, 1631E,  29, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 10, 2023012018, 03, AC00, 036, 228S, 1632E,  26, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 10, 2023012018, 03, AC00, 042, 230S, 1629E,  24, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 10, 2023012018, 03, AC00, 048, 238S, 1627E,  21, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 10, 2023012018, 03, AC00, 054, 246S, 1626E,  23, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 10, 2023012018, 03, AC00, 060, 250S, 1625E,  22, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 10, 2023012018, 03, AC00, 066, 253S, 1624E,  18, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 10, 2023012018, 03, AC00, 072, 256S, 1625E,  16, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 10, 2023012018, 03, AC00, 078, 258S, 1627E,  17, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 10, 2023012018, 03, AC00, 084, 259S, 1629E,  18, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 10, 2023012018, 03, AC00, 090, 262S, 1625E,  18, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 10, 2023012018, 03, AC00, 096, 263S, 1622E,  15, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 10, 2023012018, 03, AC00, 102, 266S, 1625E,  15, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 10, 2023012018, 03, AC00, 108, 264S, 1629E,  15, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 10, 2023012018, 03, AC00, 114, 261S, 1633E,  14, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 10, 2023012018, 03, AEMN, 000, 208S, 1614E,  46,  996, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 10, 2023012018, 03, AEMN, 006, 216S, 1624E,  35,  997, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 10, 2023012018, 03, AEMN, 012, 223S, 1633E,  40,  996, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 10, 2023012018, 03, AEMN, 018, 224S, 1636E,  42,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 10, 2023012018, 03, AEMN, 024, 226S, 1634E,  35,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 10, 2023012018, 03, AEMN, 030, 229S, 1633E,  31, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 10, 2023012018, 03, AEMN, 036, 233S, 1632E,  30, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 10, 2023012018, 03, AEMN, 042, 237S, 1629E,  27, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 10, 2023012018, 03, AEMN, 048, 243S, 1624E,  24, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 10, 2023012018, 03, AEMN, 054, 250S, 1622E,  24, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 10, 2023012018, 03, AEMN, 060, 256S, 1623E,  24, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 10, 2023012018, 03, AEMN, 066, 258S, 1622E,  21, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 10, 2023012018, 03, AEMN, 072, 261S, 1623E,  19, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 10, 2023012018, 03, AEMN, 078, 263S, 1625E,  19, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 10, 2023012018, 03, AEMN, 084, 262S, 1627E,  17, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 10, 2023012018, 03, AEMN, 090, 262S, 1622E,  16, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 10, 2023012018, 03, AEMN, 096, 265S, 1620E,  15, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 10, 2023012018, 03, AEMN, 102, 272S, 1624E,  15, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 10, 2023012018, 03, AEMN, 108, 274S, 1630E,  15, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 10, 2023012018, 03, AEMN, 114, 274S, 1632E,  15, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 10, 2023012018, 03, AP01, 000, 204S, 1617E,  56,  996, XX,  34, NEQ, 0139, 0185, 0126, 0101
SH, 10, 2023012018, 03, AP01, 000, 204S, 1617E,  56,  996, XX,  50, NEQ, 0000, 0000, 0066, 0000
SH, 10, 2023012018, 03, AP01, 006, 219S, 1626E,  37,  997, XX,  34, NEQ, 0000, 0190, 0073, 0120
SH, 10, 2023012018, 03, AP01, 012, 227S, 1635E,  43,  995, XX,  34, NEQ, 0000, 0162, 0126, 0122
SH, 10, 2023012018, 03, AP01, 018, 226S, 1632E,  41,  999, XX,  34, NEQ, 0000, 0231, 0089, 0000
SH, 10, 2023012018, 03, AP01, 024, 224S, 1630E,  35,  999, XX,  34, NEQ, 0000, 0164, 0000, 0000
SH, 10, 2023012018, 03, AP01, 030, 227S, 1632E,  33, 1002, XX,  34, NEQ, 0000, 0179, 0000, 0000
SH, 10, 2023012018, 03, AP01, 036, 235S, 1636E,  35, 1001, XX,  34, NEQ, 0000, 0187, 0182, 0000
SH, 10, 2023012018, 03, AP01, 042, 244S, 1632E,  34, 1004, XX,  34, NEQ, 0000, 0169, 0000, 0000
SH, 10, 2023012018, 03, AP01, 048, 250S, 1624E,  31, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 10, 2023012018, 03, AP01, 054, 256S, 1612E,  29, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 10, 2023012018, 03, AP01, 060, 260S, 1604E,  30, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 10, 2023012018, 03, AP01, 066, 266S, 1599E,  31, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 10, 2023012018, 03, AP01, 072, 266S, 1591E,  24, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 10, 2023012018, 03, AP01, 078, 266S, 1573E,  24, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 10, 2023012018, 03, AP02, 000, 209S, 1614E,  38,  995, XX,  34, NEQ, 0131, 0153, 0107, 0098
SH, 10, 2023012018, 03, AP02, 006, 218S, 1622E,  35,  996, XX,  34, NEQ, 0000, 0000, 0079, 0000
SH, 10, 2023012018, 03, AP02, 012, 221S, 1628E,  38,  995, XX,  34, NEQ, 0000, 0161, 0121, 0073
SH, 10, 2023012018, 03, AP02, 018, 215S, 1630E,  37,  999, XX,  34, NEQ, 0000, 0226, 0121, 0000
SH, 10, 2023012018, 03, AP02, 024, 219S, 1631E,  28,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 10, 2023012018, 03, AP02, 030, 223S, 1629E,  24, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 10, 2023012018, 03, AP02, 036, 224S, 1632E,  24, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 10, 2023012018, 03, AP02, 042, 226S, 1633E,  24, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 10, 2023012018, 03, AP02, 048, 232S, 1632E,  20, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 10, 2023012018, 03, AP02, 054, 238S, 1631E,  21, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
