SH, 11, 2021011700, 03, AC00, 000, 150S, 1462E,  26, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AC00, 006, 154S, 1463E,  24, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AC00, 012, 157S, 1465E,  29, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AC00, 018, 161S, 1466E,  28, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AC00, 024, 164S, 1464E,  23, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AC00, 030, 172S, 1461E,  21, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AC00, 036, 177S, 1457E,  24, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AC00, 042, 184S, 1461E,  20, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AC00, 048, 188S, 1463E,  20, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AC00, 054, 191S, 1467E,  20, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AEMN, 000, 150S, 1463E,  28, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AEMN, 006, 154S, 1464E,  25, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AEMN, 012, 157S, 1466E,  27, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AEMN, 018, 161S, 1466E,  28, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AEMN, 024, 167S, 1464E,  27, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AEMN, 030, 174S, 1463E,  25, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AEMN, 036, 179S, 1462E,  24, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AEMN, 042, 188S, 1464E,  20, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AEMN, 048, 191S, 1472E,  20, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AEMN, 054, 196S, 1484E,  19, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AP01, 000, 148S, 1462E,  28, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AP01, 006, 152S, 1465E,  25,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AP01, 012, 157S, 1466E,  30, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AP01, 018, 160S, 1464E,  31,  998, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AP01, 024, 168S, 1462E,  29, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AP01, 030, 176S, 1462E,  30, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AP01, 036, 178S, 1464E,  28, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AP01, 042, 181S, 1470E,  27, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AP01, 048, 185S, 1474E,  19, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AP01, 054, 186S, 1476E,  18, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AP02, 000, 150S, 1463E,  32, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AP02, 006, 154S, 1462E,  27, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AP02, 012, 159S, 1462E,  30, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AP02, 018, 164S, 1464E,  38,  998, XX,  34, NEQ, 0052, 0000, 0000, 0040
SH, 11, 2021011700, 03, AP02, 024, 170S, 1469E,  31, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AP02, 030, 178S, 1471E,  31,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AP02, 036, 183S, 1476E,  30, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AP02, 042, 188S, 1484E,  23, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AP02, 048, 188S, 1490E,  27, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AP02, 054, 188S, 1494E,  21, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AP02, 060, 188S, 1496E,  19, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AP02, 066, 183S, 1495E,  16, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AP02, 072, 179S, 1494E,  16, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AP02, 078, 175S, 1496E,  21, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AP02, 084, 168S, 1494E,  26, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AP02, 090, 163S, 1490E,  23, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AP02, 096, 163S, 1480E,  23, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AP02, 102, 162S, 1474E,  23, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AP03, 000, 149S, 1463E,  32, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AP03, 006, 150S, 1464E,  27,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AP03, 012, 152S, 1466E,  27, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AP03, 018, 156S, 1465E,  28, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AP03, 024, 158S, 1463E,  24, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AP03, 030, 161S, 1457E,  22, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AP03, 036, 163S, 1450E,  20, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AP03, 042, 173S, 1439E,  16, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AP03, 048, 181S, 1427E,  15, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AP04, 000, 150S, 1461E,  32, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AP04, 006, 155S, 1462E,  31,  998, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AP04, 012, 159S, 1463E,  34, 1002, XX,  34, NEQ, 0000, 0000, 0019, 0000
SH, 11, 2021011700, 03, AP04, 018, 163S, 1463E,  34, 1000, XX,  34, NEQ, 0000, 0021, 0000, 0000
SH, 11, 2021011700, 03, AP04, 024, 169S, 1457E,  31, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AP04, 030, 181S, 1451E,  19, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AP04, 036, 190S, 1447E,  20, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AP04, 042, 203S, 1444E,  16, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AP05, 000, 150S, 1461E,  27, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AP05, 006, 156S, 1461E,  22, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AP05, 012, 159S, 1463E,  26, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AP05, 018, 165S, 1464E,  28, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AP05, 024, 175S, 1463E,  34, 1006, XX,  34, NEQ, 0000, 0035, 0000, 0000
SH, 11, 2021011700, 03, AP05, 030, 179S, 1466E,  26, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AP05, 036, 175S, 1463E,  25, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AP06, 000, 149S, 1464E,  30, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AP06, 006, 151S, 1465E,  26,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AP06, 012, 154S, 1466E,  24, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AP06, 018, 163S, 1467E,  30, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AP06, 024, 170S, 1465E,  35, 1001, XX,  34, NEQ, 0000, 0032, 0000, 0000
SH, 11, 2021011700, 03, AP06, 030, 178S, 1464E,  26, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AP06, 036, 186S, 1466E,  30, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AP06, 042, 187S, 1470E,  25, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AP06, 048, 189S, 1469E,  21, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AP07, 000, 152S, 1462E,  26, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AP07, 006, 158S, 1461E,  25, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 11, 2021011700, 03, AP07, 012, 162S, 1461E,  21, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
