SH, 18, 2023040818, 01, CARQ,   0, 113S, 1282E,  35, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1007,  180,  35,   0,   0,   S,   0,   X, 225,   7,   EIGHTEEN, M,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, SH182023, JTWC, NCEP_TCVITALS, 
SH, 18, 2023040818, 01, CARQ,   0, 113S, 1282E,  35, 1000, XX,  50, NEQ,    0,    0,    0,    0, 1007,  180,  35,   0,   0,   S,   0,   X, 225,   7,   EIGHTEEN, M,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, SH182023, JTWC, NCEP_TCVITALS, 
SH, 18, 2023040818, 01, CARQ,   0, 113S, 1282E,  35, 1000, XX,  64, NEQ,    0,    0,    0,    0, 1007,  180,  35,   0,   0,   S,   0,   X, 225,   7,   EIGHTEEN, M,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, SH182023, JTWC, NCEP_TCVITALS, 
SH, 18, 2023040818, 03, AC00, 000, 111S, 1284E,  38,  999, XX,  34, NEQ, 0036, 0000, 0000, 0000
SH, 18, 2023040818, 03, AC00, 006, 115S, 1277E,  31, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 18, 2023040818, 03, AC00, 012, 118S, 1268E,  30,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 18, 2023040818, 03, AC00, 018, 121S, 1260E,  32,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 18, 2023040818, 03, AC00, 024, 126S, 1254E,  36,  995, XX,  34, NEQ, 0040, 0000, 0000, 0000
SH, 18, 2023040818, 03, AC00, 030, 131S, 1244E,  41,  994, XX,  34, NEQ, 0000, 0086, 0048, 0032
SH, 18, 2023040818, 03, AC00, 036, 137S, 1236E,  42,  988, XX,  34, NEQ, 0000, 0058, 0056, 0042
SH, 18, 2023040818, 03, AC00, 042, 143S, 1231E,  37,  994, XX,  34, NEQ, 0000, 0074, 0070, 0000
SH, 18, 2023040818, 03, AC00, 048, 147S, 1223E,  43,  988, XX,  34, NEQ, 0046, 0079, 0093, 0053
SH, 18, 2023040818, 03, AC00, 054, 152S, 1217E,  44,  989, XX,  34, NEQ, 0056, 0085, 0090, 0055
SH, 18, 2023040818, 03, AC00, 060, 158S, 1211E,  62,  976, XX,  34, NEQ, 0061, 0079, 0095, 0070
SH, 18, 2023040818, 03, AC00, 060, 158S, 1211E,  62,  976, XX,  50, NEQ, 0000, 0038, 0053, 0042
SH, 18, 2023040818, 03, AC00, 066, 163S, 1208E,  69,  978, XX,  34, NEQ, 0074, 0105, 0092, 0068
SH, 18, 2023040818, 03, AC00, 066, 163S, 1208E,  69,  978, XX,  50, NEQ, 0046, 0052, 0049, 0040
SH, 18, 2023040818, 03, AC00, 066, 163S, 1208E,  69,  978, XX,  64, NEQ, 0000, 0000, 0030, 0000
SH, 18, 2023040818, 03, AC00, 072, 166S, 1204E,  71,  966, XX,  34, NEQ, 0084, 0107, 0092, 0076
SH, 18, 2023040818, 03, AC00, 072, 166S, 1204E,  71,  966, XX,  50, NEQ, 0056, 0057, 0051, 0044
SH, 18, 2023040818, 03, AC00, 072, 166S, 1204E,  71,  966, XX,  64, NEQ, 0040, 0033, 0037, 0028
SH, 18, 2023040818, 03, AC00, 078, 169S, 1201E,  82,  961, XX,  34, NEQ, 0092, 0127, 0096, 0090
SH, 18, 2023040818, 03, AC00, 078, 169S, 1201E,  82,  961, XX,  50, NEQ, 0057, 0059, 0053, 0054
SH, 18, 2023040818, 03, AC00, 078, 169S, 1201E,  82,  961, XX,  64, NEQ, 0047, 0043, 0041, 0037
SH, 18, 2023040818, 03, AC00, 084, 175S, 1200E,  94,  952, XX,  34, NEQ, 0100, 0111, 0097, 0095
SH, 18, 2023040818, 03, AC00, 084, 175S, 1200E,  94,  952, XX,  50, NEQ, 0058, 0058, 0051, 0054
SH, 18, 2023040818, 03, AC00, 084, 175S, 1200E,  94,  952, XX,  64, NEQ, 0049, 0041, 0039, 0040
SH, 18, 2023040818, 03, AC00, 090, 179S, 1200E,  86,  954, XX,  34, NEQ, 0101, 0107, 0105, 0087
SH, 18, 2023040818, 03, AC00, 090, 179S, 1200E,  86,  954, XX,  50, NEQ, 0063, 0061, 0069, 0055
SH, 18, 2023040818, 03, AC00, 090, 179S, 1200E,  86,  954, XX,  64, NEQ, 0049, 0044, 0045, 0043
SH, 18, 2023040818, 03, AC00, 096, 185S, 1202E,  88,  954, XX,  34, NEQ, 0122, 0110, 0090, 0094
SH, 18, 2023040818, 03, AC00, 096, 185S, 1202E,  88,  954, XX,  50, NEQ, 0070, 0069, 0064, 0059
SH, 18, 2023040818, 03, AC00, 096, 185S, 1202E,  88,  954, XX,  64, NEQ, 0051, 0049, 0044, 0045
SH, 18, 2023040818, 03, AC00, 102, 192S, 1204E,  89,  956, XX,  34, NEQ, 0138, 0097, 0080, 0107
SH, 18, 2023040818, 03, AC00, 102, 192S, 1204E,  89,  956, XX,  50, NEQ, 0077, 0063, 0057, 0057
SH, 18, 2023040818, 03, AC00, 102, 192S, 1204E,  89,  956, XX,  64, NEQ, 0056, 0047, 0046, 0047
SH, 18, 2023040818, 03, AC00, 108, 202S, 1211E,  81,  956, XX,  34, NEQ, 0121, 0111, 0072, 0107
SH, 18, 2023040818, 03, AC00, 108, 202S, 1211E,  81,  956, XX,  50, NEQ, 0061, 0058, 0054, 0055
SH, 18, 2023040818, 03, AC00, 108, 202S, 1211E,  81,  956, XX,  64, NEQ, 0048, 0044, 0040, 0048
SH, 18, 2023040818, 03, AC00, 114, 211S, 1223E,  71,  971, XX,  34, NEQ, 0105, 0078, 0066, 0079
SH, 18, 2023040818, 03, AC00, 114, 211S, 1223E,  71,  971, XX,  50, NEQ, 0065, 0048, 0042, 0043
SH, 18, 2023040818, 03, AC00, 114, 211S, 1223E,  71,  971, XX,  64, NEQ, 0041, 0000, 0000, 0000
SH, 18, 2023040818, 03, AC00, 120, 220S, 1240E,  63,  975, XX,  34, NEQ, 0108, 0064, 0066, 0096
SH, 18, 2023040818, 03, AC00, 120, 220S, 1240E,  63,  975, XX,  50, NEQ, 0076, 0000, 0000, 0062
SH, 18, 2023040818, 03, AC00, 126, 233S, 1265E,  58,  984, XX,  34, NEQ, 0141, 0087, 0043, 0094
SH, 18, 2023040818, 03, AC00, 126, 233S, 1265E,  58,  984, XX,  50, NEQ, 0064, 0000, 0000, 0054
SH, 18, 2023040818, 03, AC00, 132, 248S, 1290E,  52,  987, XX,  34, NEQ, 0185, 0092, 0000, 0110
SH, 18, 2023040818, 03, AC00, 132, 248S, 1290E,  52,  987, XX,  50, NEQ, 0053, 0000, 0000, 0000
SH, 18, 2023040818, 03, AC00, 138, 260S, 1324E,  41,  994, XX,  34, NEQ, 0123, 0000, 0052, 0093
SH, 18, 2023040818, 03, AC00, 144, 270S, 1361E,  42,  994, XX,  34, NEQ, 0091, 0000, 0059, 0118
SH, 18, 2023040818, 03, AC00, 150, 287S, 1392E,  33,  997, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 18, 2023040818, 03, AC00, 156, 301S, 1421E,  31,  994, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 18, 2023040818, 03, AC00, 162, 320S, 1446E,  28,  996, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 18, 2023040818, 03, AC00, 168, 343S, 1461E,  27,  993, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 18, 2023040818, 03, AC00, 174, 377S, 1485E,  42,  987, XX,  34, NEQ, 0218, 0203, 0217, 0000
SH, 18, 2023040818, 03, AC00, 180, 417S, 1487E,  47,  976, XX,  34, NEQ, 0348, 0239, 0282, 0165
SH, 18, 2023040818, 03, AC00, 186, 441S, 1489E,  56,  970, XX,  34, NEQ, 0246, 0246, 0254, 0306
SH, 18, 2023040818, 03, AC00, 186, 441S, 1489E,  56,  970, XX,  50, NEQ, 0092, 0000, 0000, 0072
SH, 18, 2023040818, 03, AC00, 192, 454S, 1485E,  53,  967, XX,  34, NEQ, 0302, 0160, 0291, 0391
SH, 18, 2023040818, 03, AC00, 192, 454S, 1485E,  53,  967, XX,  50, NEQ, 0105, 0000, 0000, 0000
SH, 18, 2023040818, 03, AEMN, 000, 111S, 1284E,  42,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 18, 2023040818, 03, AEMN, 006, 115S, 1277E,  33, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 18, 2023040818, 03, AEMN, 012, 119S, 1269E,  33,  998, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 18, 2023040818, 03, AEMN, 018, 122S, 1261E,  33, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 18, 2023040818, 03, AEMN, 024, 125S, 1253E,  34,  997, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 18, 2023040818, 03, AEMN, 030, 130S, 1245E,  38,  997, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 18, 2023040818, 03, AEMN, 036, 135S, 1237E,  41,  992, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 18, 2023040818, 03, AEMN, 042, 140S, 1230E,  40,  993, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 18, 2023040818, 03, AEMN, 048, 144S, 1223E,  42,  990, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 18, 2023040818, 03, AEMN, 054, 149S, 1216E,  46,  989, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 18, 2023040818, 03, AEMN, 060, 153S, 1209E,  50,  982, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 18, 2023040818, 03, AEMN, 066, 157S, 1205E,  54,  981, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 18, 2023040818, 03, AEMN, 072, 161S, 1200E,  58,  977, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 18, 2023040818, 03, AEMN, 078, 165S, 1195E,  65,  974, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 18, 2023040818, 03, AEMN, 084, 170S, 1191E,  69,  968, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 18, 2023040818, 03, AEMN, 090, 177S, 1189E,  69,  968, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 18, 2023040818, 03, AEMN, 096, 184S, 1188E,  73,  967, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 18, 2023040818, 03, AEMN, 102, 192S, 1190E,  75,  968, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 18, 2023040818, 03, AEMN, 108, 202S, 1196E,  71,  966, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 18, 2023040818, 03, AEMN, 114, 211S, 1206E,  66,  973, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 18, 2023040818, 03, AEMN, 120, 222S, 1222E,  60,  978, XX,  34, NEQ, 0000, 0000, 0000, 0000
