WP, 04, 2022062918, 01, CARQ,   0, 151N, 1148E,  30,  995, XX,  34, NEQ,    0,    0,    0,    0,  999,  200,  75,   0,   0,   W,   0,   X, 260,   7,       FOUR, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP042022, JTWC, NCEP_TCVITALS, 
WP, 04, 2022062918, 01, CARQ,   0, 151N, 1148E,  30,  995, XX,  50, NEQ,    0,    0,    0,    0,  999,  200,  75,   0,   0,   W,   0,   X, 260,   7,       FOUR, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP042022, JTWC, NCEP_TCVITALS, 
WP, 04, 2022062918, 01, CARQ,   0, 151N, 1148E,  30,  995, XX,  64, NEQ,    0,    0,    0,    0,  999,  200,  75,   0,   0,   W,   0,   X, 260,   7,       FOUR, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP042022, JTWC, NCEP_TCVITALS, 
WP, 04, 2022062918, 03, AC00, 000, 156N, 1153E,  29,  994, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2022062918, 03, AC00, 006, 157N, 1150E,  36,  994, XX,  34, NEQ, 0000, 0054, 0051, 0000
WP, 04, 2022062918, 03, AC00, 012, 165N, 1154E,  41,  990, XX,  34, NEQ, 0090, 0101, 0096, 0000
WP, 04, 2022062918, 03, AC00, 018, 178N, 1152E,  38,  991, XX,  34, NEQ, 0166, 0104, 0000, 0000
WP, 04, 2022062918, 03, AC00, 024, 184N, 1143E,  35,  988, XX,  34, NEQ, 0000, 0063, 0000, 0000
WP, 04, 2022062918, 03, AC00, 030, 189N, 1134E,  42,  986, XX,  34, NEQ, 0065, 0089, 0000, 0000
WP, 04, 2022062918, 03, AC00, 036, 190N, 1123E,  47,  982, XX,  34, NEQ, 0068, 0165, 0102, 0075
WP, 04, 2022062918, 03, AC00, 042, 192N, 1119E,  62,  976, XX,  34, NEQ, 0081, 0148, 0108, 0054
WP, 04, 2022062918, 03, AC00, 042, 192N, 1119E,  62,  976, XX,  50, NEQ, 0040, 0051, 0000, 0000
WP, 04, 2022062918, 03, AC00, 048, 194N, 1109E,  64,  969, XX,  34, NEQ, 0092, 0130, 0118, 0062
WP, 04, 2022062918, 03, AC00, 048, 194N, 1109E,  64,  969, XX,  50, NEQ, 0040, 0064, 0000, 0000
WP, 04, 2022062918, 03, AC00, 054, 196N, 1105E,  63,  972, XX,  34, NEQ, 0095, 0139, 0151, 0083
WP, 04, 2022062918, 03, AC00, 054, 196N, 1105E,  63,  972, XX,  50, NEQ, 0041, 0071, 0000, 0000
WP, 04, 2022062918, 03, AC00, 060, 200N, 1100E,  52,  973, XX,  34, NEQ, 0115, 0151, 0171, 0090
WP, 04, 2022062918, 03, AC00, 060, 200N, 1100E,  52,  973, XX,  50, NEQ, 0059, 0081, 0000, 0000
WP, 04, 2022062918, 03, AC00, 066, 203N, 1097E,  50,  975, XX,  34, NEQ, 0107, 0158, 0147, 0081
WP, 04, 2022062918, 03, AC00, 072, 209N, 1094E,  50,  974, XX,  34, NEQ, 0118, 0143, 0162, 0066
WP, 04, 2022062918, 03, AC00, 072, 209N, 1094E,  50,  974, XX,  50, NEQ, 0000, 0052, 0000, 0000
WP, 04, 2022062918, 03, AC00, 078, 212N, 1090E,  52,  974, XX,  34, NEQ, 0048, 0080, 0142, 0048
WP, 04, 2022062918, 03, AC00, 078, 212N, 1090E,  52,  974, XX,  50, NEQ, 0000, 0038, 0041, 0000
WP, 04, 2022062918, 03, AC00, 084, 216N, 1088E,  52,  975, XX,  34, NEQ, 0047, 0102, 0096, 0000
WP, 04, 2022062918, 03, AC00, 084, 216N, 1088E,  52,  975, XX,  50, NEQ, 0000, 0036, 0000, 0000
WP, 04, 2022062918, 03, AC00, 090, 216N, 1086E,  50,  977, XX,  34, NEQ, 0035, 0086, 0069, 0000
WP, 04, 2022062918, 03, AC00, 096, 217N, 1082E,  53,  978, XX,  34, NEQ, 0000, 0097, 0081, 0000
WP, 04, 2022062918, 03, AC00, 096, 217N, 1082E,  53,  978, XX,  50, NEQ, 0000, 0045, 0000, 0000
WP, 04, 2022062918, 03, AC00, 102, 215N, 1080E,  54,  978, XX,  34, NEQ, 0000, 0094, 0092, 0000
WP, 04, 2022062918, 03, AC00, 102, 215N, 1080E,  54,  978, XX,  50, NEQ, 0000, 0046, 0035, 0000
WP, 04, 2022062918, 03, AC00, 108, 216N, 1077E,  52,  980, XX,  34, NEQ, 0000, 0081, 0069, 0000
WP, 04, 2022062918, 03, AC00, 108, 216N, 1077E,  52,  980, XX,  50, NEQ, 0000, 0043, 0000, 0000
WP, 04, 2022062918, 03, AC00, 114, 216N, 1075E,  45,  982, XX,  34, NEQ, 0000, 0076, 0073, 0000
WP, 04, 2022062918, 03, AC00, 120, 217N, 1071E,  40,  984, XX,  34, NEQ, 0000, 0129, 0071, 0000
WP, 04, 2022062918, 03, AC00, 126, 217N, 1068E,  35,  986, XX,  34, NEQ, 0000, 0072, 0000, 0000
WP, 04, 2022062918, 03, AC00, 132, 216N, 1064E,  32,  987, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2022062918, 03, AC00, 138, 216N, 1060E,  24,  991, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2022062918, 03, AC00, 144, 213N, 1057E,  28,  993, XX,  34, NEQ, 0000, 0000, 0000, 0000
