WP, 17, 2012091100, 03, AVNO, 000,  99N, 1341E,  23, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 17, 2012091100, 03, AVNO, 006, 106N, 1337E,  28, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 17, 2012091100, 03, AVNO, 012, 113N, 1330E,  34, 1003, XX,  34, NEQ, 0000, 0050, 0000, 0000
WP, 17, 2012091100, 03, AVNO, 018, 122N, 1326E,  36, 1000, XX,  34, NEQ, 0000, 0076, 0075, 0000
WP, 17, 2012091100, 03, AVNO, 024, 130N, 1320E,  40, 1000, XX,  34, NEQ, 0095, 0097, 0000, 0000
WP, 17, 2012091100, 03, AVNO, 030, 136N, 1316E,  48,  996, XX,  34, NEQ, 0097, 0094, 0089, 0081
WP, 17, 2012091100, 03, AVNO, 036, 143N, 1310E,  49,  996, XX,  34, NEQ, 0096, 0116, 0114, 0083
WP, 17, 2012091100, 03, AVNO, 042, 150N, 1307E,  62,  992, XX,  34, NEQ, 0105, 0143, 0123, 0098
WP, 17, 2012091100, 03, AVNO, 042, 150N, 1307E,  62,  992, XX,  50, NEQ, 0062, 0081, 0063, 0000
WP, 17, 2012091100, 03, AVNO, 048, 159N, 1304E,  67,  992, XX,  34, NEQ, 0126, 0149, 0116, 0110
WP, 17, 2012091100, 03, AVNO, 048, 159N, 1304E,  67,  992, XX,  50, NEQ, 0071, 0073, 0066, 0072
WP, 17, 2012091100, 03, AVNO, 048, 159N, 1304E,  67,  992, XX,  64, NEQ, 0000, 0049, 0000, 0000
WP, 17, 2012091100, 03, AVNO, 054, 169N, 1301E,  66,  988, XX,  34, NEQ, 0150, 0160, 0117, 0105
WP, 17, 2012091100, 03, AVNO, 054, 169N, 1301E,  66,  988, XX,  50, NEQ, 0070, 0085, 0071, 0065
WP, 17, 2012091100, 03, AVNO, 054, 169N, 1301E,  66,  988, XX,  64, NEQ, 0000, 0059, 0054, 0000
WP, 17, 2012091100, 03, AVNO, 060, 180N, 1300E,  77,  988, XX,  34, NEQ, 0148, 0150, 0100, 0136
WP, 17, 2012091100, 03, AVNO, 060, 180N, 1300E,  77,  988, XX,  50, NEQ, 0085, 0085, 0061, 0073
WP, 17, 2012091100, 03, AVNO, 060, 180N, 1300E,  77,  988, XX,  64, NEQ, 0067, 0059, 0000, 0043
WP, 17, 2012091100, 03, AVNO, 066, 189N, 1296E,  75,  983, XX,  34, NEQ, 0178, 0173, 0143, 0133
