WP, 26, 2013101600, 03, HWRF, 000, 127N, 1451E,  25, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 108
WP, 26, 2013101600, 03, HWRF, 006, 118N, 1446E,  70,  989, XX,  34, NEQ, 0067, 0084, 0090, 0100,    0,    0,  18
WP, 26, 2013101600, 03, HWRF, 006, 118N, 1446E,  70,  989, XX,  50, NEQ, 0035, 0070, 0000, 0035,    0,    0,  18
WP, 26, 2013101600, 03, HWRF, 006, 118N, 1446E,  70,  989, XX,  64, NEQ, 0021, 0000, 0000, 0023,    0,    0,  18
WP, 26, 2013101600, 03, HWRF, 012, 109N, 1441E,  66,  981, XX,  34, NEQ, 0080, 0108, 0116, 0063,    0,    0,  18
WP, 26, 2013101600, 03, HWRF, 012, 109N, 1441E,  66,  981, XX,  50, NEQ, 0040, 0022, 0035, 0038,    0,    0,  18
WP, 26, 2013101600, 03, HWRF, 012, 109N, 1441E,  66,  981, XX,  64, NEQ, 0000, 0000, 0000, 0020,    0,    0,  18
WP, 26, 2013101600, 03, HWRF, 018, 106N, 1442E,  70,  977, XX,  34, NEQ, 0088, 0099, 0125, 0078,    0,    0,  25
WP, 26, 2013101600, 03, HWRF, 018, 106N, 1442E,  70,  977, XX,  50, NEQ, 0047, 0060, 0038, 0034,    0,    0,  25
WP, 26, 2013101600, 03, HWRF, 018, 106N, 1442E,  70,  977, XX,  64, NEQ, 0024, 0029, 0025, 0000,    0,    0,  25
WP, 26, 2013101600, 03, HWRF, 024, 111N, 1441E,  73,  973, XX,  34, NEQ, 0129, 0130, 0130, 0085,    0,    0,  21
WP, 26, 2013101600, 03, HWRF, 024, 111N, 1441E,  73,  973, XX,  50, NEQ, 0040, 0043, 0057, 0041,    0,    0,  21
WP, 26, 2013101600, 03, HWRF, 024, 111N, 1441E,  73,  973, XX,  64, NEQ, 0026, 0033, 0038, 0032,    0,    0,  21
WP, 26, 2013101600, 03, HWRF, 030, 115N, 1440E,  83,  968, XX,  34, NEQ, 0121, 0175, 0116, 0102,    0,    0,  18
WP, 26, 2013101600, 03, HWRF, 030, 115N, 1440E,  83,  968, XX,  50, NEQ, 0050, 0059, 0041, 0048,    0,    0,  18
WP, 26, 2013101600, 03, HWRF, 030, 115N, 1440E,  83,  968, XX,  64, NEQ, 0023, 0035, 0030, 0035,    0,    0,  18
WP, 26, 2013101600, 03, HWRF, 036, 122N, 1440E,  83,  966, XX,  34, NEQ, 0183, 0177, 0105, 0118,    0,    0,  18
WP, 26, 2013101600, 03, HWRF, 036, 122N, 1440E,  83,  966, XX,  50, NEQ, 0052, 0074, 0043, 0048,    0,    0,  18
WP, 26, 2013101600, 03, HWRF, 036, 122N, 1440E,  83,  966, XX,  64, NEQ, 0027, 0038, 0034, 0025,    0,    0,  18
WP, 26, 2013101600, 03, HWRF, 042, 132N, 1441E,  85,  961, XX,  34, NEQ, 0178, 0149, 0130, 0131,    0,    0,  22
WP, 26, 2013101600, 03, HWRF, 042, 132N, 1441E,  85,  961, XX,  50, NEQ, 0046, 0057, 0041, 0048,    0,    0,  22
WP, 26, 2013101600, 03, HWRF, 042, 132N, 1441E,  85,  961, XX,  64, NEQ, 0034, 0042, 0031, 0030,    0,    0,  22
WP, 26, 2013101600, 03, HWRF, 048, 143N, 1439E,  87,  956, XX,  34, NEQ, 0162, 0172, 0150, 0129,    0,    0,  18
WP, 26, 2013101600, 03, HWRF, 048, 143N, 1439E,  87,  956, XX,  50, NEQ, 0060, 0073, 0043, 0051,    0,    0,  18
WP, 26, 2013101600, 03, HWRF, 048, 143N, 1439E,  87,  956, XX,  64, NEQ, 0035, 0032, 0029, 0035,    0,    0,  18
