WP, 27, 2024111100, 01, CARQ,   0, 124N, 1392E,  30,  999, XX,  34, NEQ,    0,    0,    0,    0, 1006,  100,  50,   0,   0,   W,   0,   X, 300,  18,  TWENTY-SE, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP272024, JTWC, NCEP_TCVITALS, 
WP, 27, 2024111100, 01, CARQ,   0, 124N, 1392E,  30,  999, XX,  50, NEQ,    0,    0,    0,    0, 1006,  100,  50,   0,   0,   W,   0,   X, 300,  18,  TWENTY-SE, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP272024, JTWC, NCEP_TCVITALS, 
WP, 27, 2024111100, 01, CARQ,   0, 124N, 1392E,  30,  999, XX,  64, NEQ,    0,    0,    0,    0, 1006,  100,  50,   0,   0,   W,   0,   X, 300,  18,  TWENTY-SE, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP272024, JTWC, NCEP_TCVITALS, 
WP, 27, 2024111100, 03, AC00, 000, 119N, 1399E,  30, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 27, 2024111100, 03, AC00, 006, 123N, 1382E,  33, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 27, 2024111100, 03, AC00, 012, 126N, 1369E,  46,  999, XX,  34, NEQ, 0055, 0036, 0000, 0038
WP, 27, 2024111100, 03, AC00, 018, 132N, 1354E,  52,  990, XX,  34, NEQ, 0066, 0065, 0035, 0055
WP, 27, 2024111100, 03, AC00, 018, 132N, 1354E,  52,  990, XX,  50, NEQ, 0028, 0000, 0000, 0000
WP, 27, 2024111100, 03, AC00, 024, 136N, 1339E,  66,  985, XX,  34, NEQ, 0089, 0067, 0041, 0067
WP, 27, 2024111100, 03, AC00, 024, 136N, 1339E,  66,  985, XX,  50, NEQ, 0049, 0038, 0000, 0037
WP, 27, 2024111100, 03, AC00, 024, 136N, 1339E,  66,  985, XX,  64, NEQ, 0028, 0000, 0000, 0000
WP, 27, 2024111100, 03, AC00, 030, 141N, 1324E,  67,  976, XX,  34, NEQ, 0089, 0070, 0067, 0074
WP, 27, 2024111100, 03, AC00, 030, 141N, 1324E,  67,  976, XX,  50, NEQ, 0054, 0044, 0033, 0043
WP, 27, 2024111100, 03, AC00, 030, 141N, 1324E,  67,  976, XX,  64, NEQ, 0032, 0000, 0000, 0000
WP, 27, 2024111100, 03, AC00, 036, 144N, 1309E,  67,  975, XX,  34, NEQ, 0097, 0076, 0067, 0100
WP, 27, 2024111100, 03, AC00, 036, 144N, 1309E,  67,  975, XX,  50, NEQ, 0054, 0044, 0000, 0048
WP, 27, 2024111100, 03, AC00, 036, 144N, 1309E,  67,  975, XX,  64, NEQ, 0040, 0000, 0000, 0000
WP, 27, 2024111100, 03, AC00, 042, 147N, 1297E,  68,  977, XX,  34, NEQ, 0102, 0082, 0070, 0092
WP, 27, 2024111100, 03, AC00, 042, 147N, 1297E,  68,  977, XX,  50, NEQ, 0062, 0055, 0040, 0056
WP, 27, 2024111100, 03, AC00, 042, 147N, 1297E,  68,  977, XX,  64, NEQ, 0036, 0000, 0000, 0000
WP, 27, 2024111100, 03, AC00, 048, 150N, 1285E,  71,  974, XX,  34, NEQ, 0109, 0093, 0068, 0098
WP, 27, 2024111100, 03, AC00, 048, 150N, 1285E,  71,  974, XX,  50, NEQ, 0069, 0060, 0042, 0060
WP, 27, 2024111100, 03, AC00, 048, 150N, 1285E,  71,  974, XX,  64, NEQ, 0049, 0000, 0000, 0036
WP, 27, 2024111100, 03, AC00, 054, 156N, 1273E,  77,  969, XX,  34, NEQ, 0110, 0099, 0078, 0092
WP, 27, 2024111100, 03, AC00, 054, 156N, 1273E,  77,  969, XX,  50, NEQ, 0068, 0053, 0050, 0062
WP, 27, 2024111100, 03, AC00, 054, 156N, 1273E,  77,  969, XX,  64, NEQ, 0052, 0043, 0000, 0041
WP, 27, 2024111100, 03, AC00, 060, 160N, 1261E,  81,  969, XX,  34, NEQ, 0122, 0084, 0079, 0097
WP, 27, 2024111100, 03, AC00, 060, 160N, 1261E,  81,  969, XX,  50, NEQ, 0075, 0060, 0050, 0062
WP, 27, 2024111100, 03, AC00, 060, 160N, 1261E,  81,  969, XX,  64, NEQ, 0052, 0042, 0000, 0040
WP, 27, 2024111100, 03, AC00, 066, 164N, 1249E,  79,  966, XX,  34, NEQ, 0118, 0082, 0086, 0102
WP, 27, 2024111100, 03, AC00, 066, 164N, 1249E,  79,  966, XX,  50, NEQ, 0071, 0052, 0054, 0070
WP, 27, 2024111100, 03, AC00, 066, 164N, 1249E,  79,  966, XX,  64, NEQ, 0054, 0000, 0036, 0048
WP, 27, 2024111100, 03, AC00, 072, 168N, 1238E,  77,  973, XX,  34, NEQ, 0123, 0103, 0082, 0102
WP, 27, 2024111100, 03, AC00, 072, 168N, 1238E,  77,  973, XX,  50, NEQ, 0074, 0066, 0053, 0056
WP, 27, 2024111100, 03, AC00, 072, 168N, 1238E,  77,  973, XX,  64, NEQ, 0055, 0049, 0030, 0044
WP, 27, 2024111100, 03, AC00, 078, 175N, 1228E,  80,  970, XX,  34, NEQ, 0112, 0108, 0066, 0090
WP, 27, 2024111100, 03, AC00, 078, 175N, 1228E,  80,  970, XX,  50, NEQ, 0068, 0061, 0027, 0061
WP, 27, 2024111100, 03, AC00, 078, 175N, 1228E,  80,  970, XX,  64, NEQ, 0047, 0044, 0000, 0038
WP, 27, 2024111100, 03, AC00, 084, 181N, 1219E,  68,  983, XX,  34, NEQ, 0099, 0122, 0000, 0095
WP, 27, 2024111100, 03, AC00, 084, 181N, 1219E,  68,  983, XX,  50, NEQ, 0057, 0060, 0000, 0000
WP, 27, 2024111100, 03, AC00, 084, 181N, 1219E,  68,  983, XX,  64, NEQ, 0000, 0032, 0000, 0000
WP, 27, 2024111100, 03, AC00, 090, 186N, 1209E,  55,  990, XX,  34, NEQ, 0111, 0136, 0061, 0101
WP, 27, 2024111100, 03, AC00, 090, 186N, 1209E,  55,  990, XX,  50, NEQ, 0069, 0000, 0000, 0040
WP, 27, 2024111100, 03, AC00, 096, 190N, 1200E,  51,  992, XX,  34, NEQ, 0140, 0144, 0066, 0100
WP, 27, 2024111100, 03, AC00, 096, 190N, 1200E,  51,  992, XX,  50, NEQ, 0063, 0000, 0000, 0000
WP, 27, 2024111100, 03, AC00, 102, 194N, 1195E,  53,  990, XX,  34, NEQ, 0114, 0074, 0072, 0104
WP, 27, 2024111100, 03, AC00, 102, 194N, 1195E,  53,  990, XX,  50, NEQ, 0000, 0000, 0000, 0045
WP, 27, 2024111100, 03, AC00, 108, 196N, 1192E,  50,  992, XX,  34, NEQ, 0101, 0064, 0066, 0094
WP, 27, 2024111100, 03, AC00, 108, 196N, 1192E,  50,  992, XX,  50, NEQ, 0000, 0000, 0000, 0045
WP, 27, 2024111100, 03, AC00, 114, 198N, 1186E,  52,  993, XX,  34, NEQ, 0106, 0070, 0069, 0105
WP, 27, 2024111100, 03, AC00, 114, 198N, 1186E,  52,  993, XX,  50, NEQ, 0000, 0000, 0000, 0047
WP, 27, 2024111100, 03, AC00, 120, 198N, 1181E,  52,  994, XX,  34, NEQ, 0116, 0070, 0060, 0088
WP, 27, 2024111100, 03, AC00, 120, 198N, 1181E,  52,  994, XX,  50, NEQ, 0000, 0000, 0000, 0049
WP, 27, 2024111100, 03, AC00, 126, 198N, 1176E,  43,  995, XX,  34, NEQ, 0080, 0060, 0066, 0085
WP, 27, 2024111100, 03, AC00, 132, 196N, 1167E,  42,  998, XX,  34, NEQ, 0073, 0000, 0043, 0072
WP, 27, 2024111100, 03, AC00, 138, 193N, 1157E,  36,  999, XX,  34, NEQ, 0048, 0000, 0000, 0059
WP, 27, 2024111100, 03, AC00, 144, 190N, 1145E,  33, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 27, 2024111100, 03, AC00, 150, 187N, 1134E,  32, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 27, 2024111100, 03, AC00, 156, 183N, 1123E,  30, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 27, 2024111100, 03, AC00, 162, 177N, 1113E,  30, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 27, 2024111100, 03, AC00, 168, 173N, 1104E,  30, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 27, 2024111100, 03, AC00, 174, 170N, 1094E,  30, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 27, 2024111100, 03, AC00, 180, 166N, 1086E,  30, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 27, 2024111100, 03, AC00, 186, 162N, 1078E,  24, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 27, 2024111100, 03, AC00, 192, 157N, 1063E,  19, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 27, 2024111100, 03, AEMN, 000, 119N, 1399E,  34, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 27, 2024111100, 03, AEMN, 006, 123N, 1382E,  36, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 27, 2024111100, 03, AEMN, 012, 126N, 1368E,  40, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 27, 2024111100, 03, AEMN, 018, 131N, 1354E,  47,  994, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 27, 2024111100, 03, AEMN, 024, 136N, 1339E,  54,  992, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 27, 2024111100, 03, AEMN, 030, 141N, 1324E,  58,  984, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 27, 2024111100, 03, AEMN, 036, 145N, 1310E,  62,  984, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 27, 2024111100, 03, AEMN, 042, 149N, 1297E,  62,  981, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 27, 2024111100, 03, AEMN, 048, 153N, 1284E,  65,  982, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 27, 2024111100, 03, AEMN, 054, 158N, 1271E,  68,  977, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 27, 2024111100, 03, AEMN, 060, 161N, 1258E,  70,  978, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 27, 2024111100, 03, AEMN, 066, 165N, 1246E,  70,  975, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 27, 2024111100, 03, AEMN, 072, 171N, 1236E,  68,  979, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 27, 2024111100, 03, AEMN, 078, 178N, 1226E,  64,  981, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 27, 2024111100, 03, AEMN, 084, 184N, 1216E,  56,  988, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 27, 2024111100, 03, AEMN, 090, 189N, 1207E,  52,  990, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 27, 2024111100, 03, AEMN, 096, 195N, 1200E,  50,  992, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 27, 2024111100, 03, AEMN, 102, 200N, 1197E,  48,  991, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 27, 2024111100, 03, AEMN, 108, 203N, 1195E,  47,  993, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 27, 2024111100, 03, AEMN, 114, 207N, 1193E,  46,  993, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 27, 2024111100, 03, AEMN, 120, 208N, 1192E,  45,  995, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 27, 2024111100, 03, AEMN, 126, 209N, 1190E,  43,  994, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 27, 2024111100, 03, AEMN, 132, 208N, 1188E,  41,  997, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 27, 2024111100, 03, AEMN, 138, 207N, 1183E,  39,  998, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 27, 2024111100, 03, AEMN, 144, 205N, 1178E,  38, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 27, 2024111100, 03, AEMN, 150, 202N, 1178E,  37,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 27, 2024111100, 03, AEMN, 156, 198N, 1173E,  36, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 27, 2024111100, 03, AEMN, 162, 197N, 1168E,  37, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 27, 2024111100, 03, AEMN, 168, 192N, 1163E,  37, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 27, 2024111100, 03, AEMN, 174, 189N, 1157E,  36, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 27, 2024111100, 03, AEMN, 180, 184N, 1147E,  35, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 27, 2024111100, 03, AEMN, 186, 180N, 1152E,  32, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 27, 2024111100, 03, AEMN, 192, 175N, 1149E,  31, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 27, 2024111100, 03, AP01, 000, 116N, 1397E,  35, 1007, XX,  34, NEQ, 0056, 0000, 0000, 0000
WP, 27, 2024111100, 03, AP01, 006, 120N, 1379E,  29, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 27, 2024111100, 03, AP01, 012, 120N, 1369E,  33,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 27, 2024111100, 03, AP01, 018, 128N, 1358E,  43,  993, XX,  34, NEQ, 0066, 0055, 0054, 0000
WP, 27, 2024111100, 03, AP01, 024, 134N, 1345E,  52,  992, XX,  34, NEQ, 0089, 0080, 0054, 0055
WP, 27, 2024111100, 03, AP01, 024, 134N, 1345E,  52,  992, XX,  50, NEQ, 0000, 0040, 0000, 0000
WP, 27, 2024111100, 03, AP01, 030, 139N, 1332E,  53,  988, XX,  34, NEQ, 0088, 0083, 0066, 0082
WP, 27, 2024111100, 03, AP01, 030, 139N, 1332E,  53,  988, XX,  50, NEQ, 0051, 0041, 0000, 0000
WP, 27, 2024111100, 03, AP01, 036, 144N, 1321E,  50,  990, XX,  34, NEQ, 0101, 0080, 0060, 0077
WP, 27, 2024111100, 03, AP01, 042, 151N, 1309E,  55,  985, XX,  34, NEQ, 0094, 0071, 0059, 0074
WP, 27, 2024111100, 03, AP01, 042, 151N, 1309E,  55,  985, XX,  50, NEQ, 0051, 0036, 0000, 0000
WP, 27, 2024111100, 03, AP01, 048, 156N, 1299E,  60,  983, XX,  34, NEQ, 0104, 0093, 0061, 0090
WP, 27, 2024111100, 03, AP01, 048, 156N, 1299E,  60,  983, XX,  50, NEQ, 0056, 0047, 0000, 0045
WP, 27, 2024111100, 03, AP01, 054, 162N, 1287E,  67,  978, XX,  34, NEQ, 0111, 0086, 0076, 0091
WP, 27, 2024111100, 03, AP01, 054, 162N, 1287E,  67,  978, XX,  50, NEQ, 0056, 0046, 0000, 0055
WP, 27, 2024111100, 03, AP01, 054, 162N, 1287E,  67,  978, XX,  64, NEQ, 0041, 0000, 0000, 0000
WP, 27, 2024111100, 03, AP01, 060, 166N, 1276E,  76,  974, XX,  34, NEQ, 0114, 0084, 0075, 0116
WP, 27, 2024111100, 03, AP01, 060, 166N, 1276E,  76,  974, XX,  50, NEQ, 0067, 0055, 0045, 0062
WP, 27, 2024111100, 03, AP01, 060, 166N, 1276E,  76,  974, XX,  64, NEQ, 0045, 0025, 0000, 0000
WP, 27, 2024111100, 03, AP01, 066, 170N, 1265E,  68,  970, XX,  34, NEQ, 0134, 0091, 0083, 0122
WP, 27, 2024111100, 03, AP01, 066, 170N, 1265E,  68,  970, XX,  50, NEQ, 0075, 0062, 0055, 0065
WP, 27, 2024111100, 03, AP01, 066, 170N, 1265E,  68,  970, XX,  64, NEQ, 0047, 0042, 0000, 0041
WP, 27, 2024111100, 03, AP01, 072, 174N, 1258E,  73,  975, XX,  34, NEQ, 0134, 0104, 0081, 0107
WP, 27, 2024111100, 03, AP01, 072, 174N, 1258E,  73,  975, XX,  50, NEQ, 0079, 0057, 0051, 0070
WP, 27, 2024111100, 03, AP01, 072, 174N, 1258E,  73,  975, XX,  64, NEQ, 0059, 0000, 0000, 0042
WP, 27, 2024111100, 03, AP01, 078, 180N, 1251E,  70,  969, XX,  34, NEQ, 0140, 0114, 0091, 0119
WP, 27, 2024111100, 03, AP01, 078, 180N, 1251E,  70,  969, XX,  50, NEQ, 0079, 0063, 0062, 0068
WP, 27, 2024111100, 03, AP01, 078, 180N, 1251E,  70,  969, XX,  64, NEQ, 0048, 0047, 0000, 0000
WP, 27, 2024111100, 03, AP01, 084, 188N, 1247E,  69,  974, XX,  34, NEQ, 0137, 0112, 0095, 0117
WP, 27, 2024111100, 03, AP01, 084, 188N, 1247E,  69,  974, XX,  50, NEQ, 0084, 0069, 0059, 0077
WP, 27, 2024111100, 03, AP01, 084, 188N, 1247E,  69,  974, XX,  64, NEQ, 0059, 0049, 0000, 0050
WP, 27, 2024111100, 03, AP01, 090, 194N, 1242E,  72,  972, XX,  34, NEQ, 0145, 0111, 0098, 0131
WP, 27, 2024111100, 03, AP01, 090, 194N, 1242E,  72,  972, XX,  50, NEQ, 0087, 0080, 0062, 0076
WP, 27, 2024111100, 03, AP01, 090, 194N, 1242E,  72,  972, XX,  64, NEQ, 0058, 0054, 0000, 0053
WP, 27, 2024111100, 03, AP01, 096, 201N, 1239E,  68,  974, XX,  34, NEQ, 0144, 0146, 0109, 0132
WP, 27, 2024111100, 03, AP01, 096, 201N, 1239E,  68,  974, XX,  50, NEQ, 0087, 0077, 0063, 0076
WP, 27, 2024111100, 03, AP01, 096, 201N, 1239E,  68,  974, XX,  64, NEQ, 0051, 0033, 0000, 0000
WP, 27, 2024111100, 03, AP01, 102, 209N, 1238E,  65,  975, XX,  34, NEQ, 0130, 0111, 0105, 0126
WP, 27, 2024111100, 03, AP01, 102, 209N, 1238E,  65,  975, XX,  50, NEQ, 0076, 0064, 0059, 0070
WP, 27, 2024111100, 03, AP01, 102, 209N, 1238E,  65,  975, XX,  64, NEQ, 0043, 0000, 0000, 0000
WP, 27, 2024111100, 03, AP01, 108, 215N, 1240E,  64,  977, XX,  34, NEQ, 0122, 0115, 0113, 0133
WP, 27, 2024111100, 03, AP01, 108, 215N, 1240E,  64,  977, XX,  50, NEQ, 0065, 0060, 0062, 0067
WP, 27, 2024111100, 03, AP01, 108, 215N, 1240E,  64,  977, XX,  64, NEQ, 0000, 0000, 0042, 0000
WP, 27, 2024111100, 03, AP01, 114, 222N, 1242E,  65,  977, XX,  34, NEQ, 0142, 0101, 0099, 0138
WP, 27, 2024111100, 03, AP01, 114, 222N, 1242E,  65,  977, XX,  50, NEQ, 0052, 0059, 0058, 0070
WP, 27, 2024111100, 03, AP01, 114, 222N, 1242E,  65,  977, XX,  64, NEQ, 0000, 0000, 0043, 0045
WP, 27, 2024111100, 03, AP01, 120, 227N, 1247E,  70,  975, XX,  34, NEQ, 0127, 0111, 0123, 0132
WP, 27, 2024111100, 03, AP01, 120, 227N, 1247E,  70,  975, XX,  50, NEQ, 0068, 0056, 0070, 0071
WP, 27, 2024111100, 03, AP01, 120, 227N, 1247E,  70,  975, XX,  64, NEQ, 0000, 0000, 0044, 0043
WP, 27, 2024111100, 03, AP01, 126, 232N, 1252E,  65,  972, XX,  34, NEQ, 0177, 0116, 0153, 0153
WP, 27, 2024111100, 03, AP01, 126, 232N, 1252E,  65,  972, XX,  50, NEQ, 0057, 0058, 0056, 0067
WP, 27, 2024111100, 03, AP01, 126, 232N, 1252E,  65,  972, XX,  64, NEQ, 0000, 0000, 0000, 0044
WP, 27, 2024111100, 03, AP01, 132, 234N, 1259E,  79,  973, XX,  34, NEQ, 0173, 0107, 0215, 0214
WP, 27, 2024111100, 03, AP01, 132, 234N, 1259E,  79,  973, XX,  50, NEQ, 0115, 0064, 0082, 0100
WP, 27, 2024111100, 03, AP01, 132, 234N, 1259E,  79,  973, XX,  64, NEQ, 0000, 0000, 0062, 0066
WP, 27, 2024111100, 03, AP01, 138, 234N, 1266E,  71,  974, XX,  34, NEQ, 0193, 0153, 0255, 0251
WP, 27, 2024111100, 03, AP01, 138, 234N, 1266E,  71,  974, XX,  50, NEQ, 0075, 0064, 0103, 0076
WP, 27, 2024111100, 03, AP01, 138, 234N, 1266E,  71,  974, XX,  64, NEQ, 0044, 0000, 0000, 0045
WP, 27, 2024111100, 03, AP01, 144, 235N, 1270E,  57,  982, XX,  34, NEQ, 0113, 0126, 0084, 0127
WP, 27, 2024111100, 03, AP01, 144, 235N, 1270E,  57,  982, XX,  50, NEQ, 0043, 0000, 0044, 0053
WP, 27, 2024111100, 03, AP01, 150, 236N, 1274E,  48,  986, XX,  34, NEQ, 0094, 0087, 0141, 0142
WP, 27, 2024111100, 03, AP01, 156, 237N, 1276E,  43,  991, XX,  34, NEQ, 0081, 0079, 0116, 0134
WP, 27, 2024111100, 03, AP01, 162, 236N, 1276E,  38,  993, XX,  34, NEQ, 0000, 0000, 0073, 0105
WP, 27, 2024111100, 03, AP01, 168, 238N, 1280E,  36,  997, XX,  34, NEQ, 0067, 0086, 0000, 0000
WP, 27, 2024111100, 03, AP01, 174, 245N, 1285E,  41,  995, XX,  34, NEQ, 0082, 0088, 0140, 0150
WP, 27, 2024111100, 03, AP01, 180, 241N, 1290E,  45,  999, XX,  34, NEQ, 0000, 0000, 0115, 0139
WP, 27, 2024111100, 03, AP01, 186, 245N, 1296E,  45,  998, XX,  34, NEQ, 0047, 0000, 0121, 0147
WP, 27, 2024111100, 03, AP01, 192, 240N, 1299E,  44, 1001, XX,  34, NEQ, 0122, 0000, 0083, 0110
WP, 27, 2024111100, 03, AP02, 000, 120N, 1399E,  37, 1004, XX,  34, NEQ, 0069, 0064, 0000, 0000
WP, 27, 2024111100, 03, AP02, 006, 126N, 1381E,  39,  999, XX,  34, NEQ, 0070, 0000, 0000, 0058
WP, 27, 2024111100, 03, AP02, 012, 129N, 1366E,  45,  999, XX,  34, NEQ, 0074, 0034, 0000, 0068
WP, 27, 2024111100, 03, AP02, 018, 133N, 1352E,  53,  993, XX,  34, NEQ, 0071, 0053, 0000, 0072
WP, 27, 2024111100, 03, AP02, 018, 133N, 1352E,  53,  993, XX,  50, NEQ, 0045, 0000, 0000, 0044
WP, 27, 2024111100, 03, AP02, 024, 138N, 1337E,  49,  996, XX,  34, NEQ, 0085, 0049, 0000, 0059
WP, 27, 2024111100, 03, AP02, 030, 145N, 1322E,  55,  991, XX,  34, NEQ, 0080, 0049, 0041, 0065
WP, 27, 2024111100, 03, AP02, 030, 145N, 1322E,  55,  991, XX,  50, NEQ, 0042, 0000, 0000, 0035
WP, 27, 2024111100, 03, AP02, 036, 148N, 1307E,  55,  990, XX,  34, NEQ, 0074, 0046, 0048, 0076
WP, 27, 2024111100, 03, AP02, 036, 148N, 1307E,  55,  990, XX,  50, NEQ, 0045, 0000, 0000, 0000
WP, 27, 2024111100, 03, AP02, 042, 152N, 1293E,  51,  991, XX,  34, NEQ, 0092, 0049, 0049, 0083
WP, 27, 2024111100, 03, AP02, 042, 152N, 1293E,  51,  991, XX,  50, NEQ, 0036, 0000, 0000, 0028
WP, 27, 2024111100, 03, AP02, 048, 157N, 1278E,  52,  994, XX,  34, NEQ, 0089, 0041, 0034, 0065
WP, 27, 2024111100, 03, AP02, 048, 157N, 1278E,  52,  994, XX,  50, NEQ, 0046, 0000, 0000, 0000
WP, 27, 2024111100, 03, AP02, 054, 160N, 1263E,  48,  995, XX,  34, NEQ, 0073, 0000, 0000, 0064
WP, 27, 2024111100, 03, AP02, 060, 163N, 1252E,  50,  994, XX,  34, NEQ, 0075, 0035, 0032, 0062
WP, 27, 2024111100, 03, AP02, 060, 163N, 1252E,  50,  994, XX,  50, NEQ, 0000, 0000, 0000, 0016
WP, 27, 2024111100, 03, AP02, 066, 166N, 1240E,  53,  991, XX,  34, NEQ, 0064, 0035, 0039, 0060
WP, 27, 2024111100, 03, AP02, 066, 166N, 1240E,  53,  991, XX,  50, NEQ, 0031, 0000, 0000, 0000
WP, 27, 2024111100, 03, AP02, 072, 170N, 1229E,  51,  993, XX,  34, NEQ, 0075, 0039, 0000, 0041
WP, 27, 2024111100, 03, AP02, 072, 170N, 1229E,  51,  993, XX,  50, NEQ, 0032, 0000, 0000, 0000
