WP, 95, 2023071400, 01, CARQ,   0, 170N, 1207E,  25, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1005,  300, 120,   0,   0,   W,   0,   X, 290,   9,     INVEST, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP952023, JTWC, NCEP_TCVITALS, 
WP, 95, 2023071400, 01, CARQ,   0, 170N, 1207E,  25, 1000, XX,  50, NEQ,    0,    0,    0,    0, 1005,  300, 120,   0,   0,   W,   0,   X, 290,   9,     INVEST, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP952023, JTWC, NCEP_TCVITALS, 
WP, 95, 2023071400, 01, CARQ,   0, 170N, 1207E,  25, 1000, XX,  64, NEQ,    0,    0,    0,    0, 1005,  300, 120,   0,   0,   W,   0,   X, 290,   9,     INVEST, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP952023, JTWC, NCEP_TCVITALS, 
WP, 95, 2023071400, 03, AC00, 000, 168N, 1198E,  27, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 95, 2023071400, 03, AC00, 006, 172N, 1194E,  26,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 95, 2023071400, 03, AC00, 012, 176N, 1190E,  29,  998, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 95, 2023071400, 03, AC00, 018, 179N, 1185E,  32,  996, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 95, 2023071400, 03, AC00, 024, 181N, 1184E,  35,  994, XX,  34, NEQ, 0000, 0054, 0000, 0000
WP, 95, 2023071400, 03, AC00, 030, 182N, 1180E,  46,  989, XX,  34, NEQ, 0000, 0079, 0089, 0065
WP, 95, 2023071400, 03, AC00, 036, 185N, 1177E,  48,  987, XX,  34, NEQ, 0083, 0067, 0097, 0075
WP, 95, 2023071400, 03, AC00, 042, 186N, 1172E,  53,  983, XX,  34, NEQ, 0070, 0099, 0100, 0075
WP, 95, 2023071400, 03, AC00, 042, 186N, 1172E,  53,  983, XX,  50, NEQ, 0000, 0042, 0000, 0000
WP, 95, 2023071400, 03, AC00, 048, 189N, 1169E,  63,  974, XX,  34, NEQ, 0065, 0076, 0071, 0089
WP, 95, 2023071400, 03, AC00, 048, 189N, 1169E,  63,  974, XX,  50, NEQ, 0043, 0046, 0000, 0000
WP, 95, 2023071400, 03, AC00, 054, 192N, 1162E,  62,  973, XX,  34, NEQ, 0067, 0076, 0103, 0061
WP, 95, 2023071400, 03, AC00, 054, 192N, 1162E,  62,  973, XX,  50, NEQ, 0044, 0047, 0056, 0000
WP, 95, 2023071400, 03, AC00, 060, 194N, 1156E,  67,  967, XX,  34, NEQ, 0069, 0095, 0092, 0075
WP, 95, 2023071400, 03, AC00, 060, 194N, 1156E,  67,  967, XX,  50, NEQ, 0051, 0051, 0042, 0046
WP, 95, 2023071400, 03, AC00, 060, 194N, 1156E,  67,  967, XX,  64, NEQ, 0034, 0000, 0000, 0000
WP, 95, 2023071400, 03, AC00, 066, 195N, 1149E,  69,  964, XX,  34, NEQ, 0077, 0088, 0088, 0074
WP, 95, 2023071400, 03, AC00, 066, 195N, 1149E,  69,  964, XX,  50, NEQ, 0046, 0052, 0044, 0050
WP, 95, 2023071400, 03, AC00, 066, 195N, 1149E,  69,  964, XX,  64, NEQ, 0032, 0033, 0000, 0000
WP, 95, 2023071400, 03, AC00, 072, 198N, 1142E,  73,  965, XX,  34, NEQ, 0090, 0098, 0093, 0083
WP, 95, 2023071400, 03, AC00, 072, 198N, 1142E,  73,  965, XX,  50, NEQ, 0050, 0056, 0052, 0053
WP, 95, 2023071400, 03, AC00, 072, 198N, 1142E,  73,  965, XX,  64, NEQ, 0000, 0035, 0000, 0000
WP, 95, 2023071400, 03, AC00, 078, 200N, 1135E,  78,  954, XX,  34, NEQ, 0090, 0108, 0097, 0096
WP, 95, 2023071400, 03, AC00, 078, 200N, 1135E,  78,  954, XX,  50, NEQ, 0059, 0055, 0049, 0059
WP, 95, 2023071400, 03, AC00, 078, 200N, 1135E,  78,  954, XX,  64, NEQ, 0047, 0041, 0033, 0044
