WP, 98, 2024081800, 01, CARQ,   0, 248N, 1260E,  20, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1007,  115,  25,   0,   0,   W,   0,   X,  70,   3,     INVEST, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP982024, JTWC, NCEP_TCVITALS, 
WP, 98, 2024081800, 01, CARQ,   0, 248N, 1260E,  20, 1005, XX,  50, NEQ,    0,    0,    0,    0, 1007,  115,  25,   0,   0,   W,   0,   X,  70,   3,     INVEST, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP982024, JTWC, NCEP_TCVITALS, 
WP, 98, 2024081800, 01, CARQ,   0, 248N, 1260E,  20, 1005, XX,  64, NEQ,    0,    0,    0,    0, 1007,  115,  25,   0,   0,   W,   0,   X,  70,   3,     INVEST, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP982024, JTWC, NCEP_TCVITALS, 
WP, 98, 2024081800, 03, AC00, 000, 244N, 1257E,  25, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 98, 2024081800, 03, AC00, 006, 243N, 1260E,  26, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 98, 2024081800, 03, AC00, 012, 246N, 1256E,  30, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 98, 2024081800, 03, AC00, 018, 240N, 1253E,  29, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 98, 2024081800, 03, AC00, 024, 245N, 1253E,  30, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 98, 2024081800, 03, AC00, 030, 260N, 1254E,  33, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 98, 2024081800, 03, AC00, 036, 279N, 1251E,  30, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 98, 2024081800, 03, AC00, 042, 292N, 1257E,  28, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 98, 2024081800, 03, AC00, 048, 313N, 1265E,  26, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 98, 2024081800, 03, AC00, 054, 336N, 1255E,  25, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 98, 2024081800, 03, AEMN, 000, 244N, 1257E,  27, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 98, 2024081800, 03, AEMN, 006, 243N, 1260E,  27, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 98, 2024081800, 03, AEMN, 012, 245N, 1257E,  31, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 98, 2024081800, 03, AEMN, 018, 249N, 1256E,  30, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 98, 2024081800, 03, AEMN, 024, 254N, 1258E,  32, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 98, 2024081800, 03, AEMN, 030, 264N, 1257E,  32, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 98, 2024081800, 03, AEMN, 036, 279N, 1255E,  31, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 98, 2024081800, 03, AEMN, 042, 296N, 1256E,  30, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 98, 2024081800, 03, AEMN, 048, 313N, 1256E,  28, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 98, 2024081800, 03, AEMN, 054, 327N, 1254E,  27, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 98, 2024081800, 03, AP01, 000, 240N, 1259E,  27, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 98, 2024081800, 03, AP01, 006, 238N, 1264E,  31, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 98, 2024081800, 03, AP01, 012, 241N, 1253E,  35, 1003, XX,  34, NEQ, 0123, 0000, 0000, 0000
WP, 98, 2024081800, 03, AP01, 018, 244N, 1251E,  30, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 98, 2024081800, 03, AP01, 024, 261N, 1252E,  28, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 98, 2024081800, 03, AP01, 030, 275N, 1251E,  27, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 98, 2024081800, 03, AP01, 036, 285N, 1250E,  28, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 98, 2024081800, 03, AP01, 042, 301N, 1253E,  26, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 98, 2024081800, 03, AP01, 048, 313N, 1260E,  24, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 98, 2024081800, 03, AP01, 054, 322N, 1264E,  26, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 98, 2024081800, 03, AP01, 060, 335N, 1272E,  21, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 98, 2024081800, 03, AP02, 000, 246N, 1251E,  25, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 98, 2024081800, 03, AP02, 006, 244N, 1258E,  26, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 98, 2024081800, 03, AP02, 012, 247N, 1256E,  32, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 98, 2024081800, 03, AP02, 018, 251N, 1255E,  33, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 98, 2024081800, 03, AP02, 024, 264N, 1257E,  33, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 98, 2024081800, 03, AP02, 030, 275N, 1257E,  30, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 98, 2024081800, 03, AP02, 036, 291N, 1256E,  28, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 98, 2024081800, 03, AP02, 042, 310N, 1258E,  30, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 98, 2024081800, 03, AP03, 000, 243N, 1258E,  27, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 98, 2024081800, 03, AP03, 006, 243N, 1259E,  27, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 98, 2024081800, 03, AP03, 012, 238N, 1254E,  30, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 98, 2024081800, 03, AP03, 018, 245N, 1257E,  33, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
